S/No.,Date,LPO No.,Diesel @,DO/SDO, Truck No,Ltrs,Price per Ltr,Amount,Destinations
1,1-May,1244,INFINITY,1399,T124 DYY,450,3858,1736100,Kolwezi
2,1-May,1244,INFINITY,1503,T829 DNH,450,3858,1736100,Lusaka 
3,1-May,1244,INFINITY,1446,T215 ELV,450,3858,1736100,Kolwezi
4,1-May,1244,INFINITY,1422,T238 ELV,500,3858,1929000,Kolwezi
5,1-May,1244,INFINITY,1477,T703 DXY,450,3858,1736100,Kolwezi
6,1-May,1244,INFINITY,1430,T480 EKZ,450,3858,1736100,Kolwezi
7,1-May,1245,LAKE KAPIRI,1399,T124 DYY,560,1.3,728,Kolwezi
8,1-May,1245,LAKE KAPIRI,1503,T829 DNH,50,1.3,65,Lusaka 
9,1-May,1245,LAKE KAPIRI,1446,T215 ELV,560,1.3,728,Kolwezi
10,1-May,1245,LAKE KAPIRI,1422,T238 ELV,560,1.3,728,Kolwezi
11,1-May,1245,LAKE KAPIRI,1477,T703 DXY,600,1.3,780,Kolwezi
12,1-May,1245,LAKE KAPIRI,1430,T480 EKZ,560,1.3,728,Kolwezi
13,1-May,1246,GBP MOROGORO,1492,T613 ENG,380,3840,1459200,KOLWEZI
14,1-May,1247,GBP MOROGORO,1110,T148 EGJ,380,3840,1459200,KOLWEZI
15,1-May,1248,GBP MOROGORO,1210,T583 DPN,40,3840,153600,Msa
16,1-May,1249,GBP MOROGORO,,T562 EAF,60,3840,230400,
17,2-May,1250,LAKE TUNDUMA,1215,T760 DNH ,100,3926,392600,Msa
18,2-May,1250,LAKE TUNDUMA,1220,T540 DRF,100,3926,392600,Msa
19,2-May,1251,INFINITY,1215,T760 DNH ,400,3858,1543200,Msa
20,2-May,1251,INFINITY,1220,T540 DRF,400,3858,1543200,Msa
21,2-May,1252,GBP MOROGORO,1215,T760 DNH ,100,3840,384000,Msa
22,2-May,1252,GBP MOROGORO,1220,T540 DRF,100,3840,384000,Msa
23,2-May,1253,GBP KANGE,1215,T760 DNH ,70,3860,270200,Msa
24,2-May,1253,GBP KANGE,1220,T540 DRF,70,3860,270200,Msa
25,2-May,1254,LAKE TUNDUMA,1196,T142 DZY,100,3926,392600,Dar
26,2-May,1255,INFINITY,1196,T142 DZY,400,3858,1543200,Dar
27,2-May,1256,INFINITY,1463,T521 EEQ,450,3858,1736100,Kolwezi
28,2-May,1256,INFINITY,1492,T613 ENG,500,3858,1929000,Kolwezi
29,2-May,1256,INFINITY,1407,T166 DZY,450,3858,1736100,Kolwezi
30,2-May,1256,INFINITY,1110,T148 EGJ,500,3858,1929000,Kolwezi
31,2-May,1256,INFINITY,1417,T218 EHE,450,3858,1736100,Kolwezi
32,2-May,1256,INFINITY,1428,T853 EKS,450,3858,1736100,Kolwezi
33,2-May,1257,LAKE KAPIRI,1463,T521 EEQ,560,1.3,728,Kolwezi
34,2-May,1257,LAKE KAPIRI,1492,T613 ENG,560,1.3,728,Kolwezi
35,2-May,1257,LAKE KAPIRI,1407,T166 DZY,560,1.3,728,Kolwezi
36,2-May,1257,LAKE KAPIRI,1110,T148 EGJ,560,1.3,728,Kolwezi
37,2-May,1257,LAKE KAPIRI,1417,T218 EHE,560,1.3,728,Kolwezi
38,2-May,1257,LAKE KAPIRI,1428,T853 EKS,560,1.3,728,Kolwezi
39,2-May,1258,GBP MOROGORO,1504,T533 DRF,150,3840,576000,Lusaka
40,2-May,1259,LAKE TUNDUMA,1195,T524 EEQ,100,3926,392600,Dar
41,2-May,1260,INFINITY,1195,T524 EEQ,400,3858,1543200,Dar
42,2-May,1261,CASH,1249,T525 DRF,40,4860.6,194424,Dar
43,2-May,1261,CASH,977,T463 EQC,100,4860.6,486060,Dar
44,2-May,1261,CASH,867,T593 DTB,20,4860.6,97212,Dar
45,2-May,1261,CASH,1393,T220 EPJ,560,4860.6,2721936,Kolwezi
46,2-May,1261,CASH,1396,T837 EKS,560,4860.6,2721936,Kolwezi
47,2-May,1261,CASH,1268,T714 DXY,350,4860.6,1701210,Dar
48,2-May,1261,CASH,976,T632 EQC,100,4860.6,486060,Dar
49,2-May,1261,CASH,978,T629 EQD,100,4860.6,486060,Dar
50,2-May,1262,GBP KANGE,,T583 DPN,100,3860,386000,
51,2-May,1263,GBP MOROGORO,1234,T709 EHJ,380,3840,1459200,Kolwezi
52,2-May,1264,LAKE CHILABOMBWE,1204,T148 DZY,110,1.3,143,Dar
53,2-May,1264,LAKE CHILABOMBWE,1212,T767 DNH,50,1.3,65,Msa
54,2-May,1265,LAKE TUNDUMA,1257,T762 DWK,100,3926,392600,Dar
55,2-May,1266,INFINITY,1257,T762 DWK,400,3858,1543200,Dar
56,2-May,1267,LAKE TUNDUMA,1286,T159 EGJ,100,3926,392600,Dar
57,2-May,1267,LAKE TUNDUMA,1517,T160 EGJ,100,3926,392600,Dar
58,2-May,1267,LAKE TUNDUMA,1522,T166 EGJ,100,3926,392600,Dar
59,2-May,1267,LAKE TUNDUMA,1518,T216 ELV,50,3926,196300,Dar
60,2-May,1267,LAKE TUNDUMA,1317,T358 EQF,100,3926,392600,Dar
61,2-May,1267,LAKE TUNDUMA,1000,T510 EEQ,100,3926,392600,Dar
62,2-May,1267,LAKE TUNDUMA,1521,T554 EKT,50,3926,196300,Dar
63,2-May,1267,LAKE TUNDUMA,1285,T606 EDD,100,3926,392600,Dar
64,2-May,1267,LAKE TUNDUMA,1259,T635 EAF,100,3926,392600,Dar
65,2-May,1267,LAKE TUNDUMA,1512,T659 ECQ,50,3926,196300,Dar
66,2-May,1267,LAKE TUNDUMA,1514,T662 ECQ,100,3926,392600,Dar
67,2-May,1267,LAKE TUNDUMA,1284,T681 EAQ,100,3926,392600,Dar
68,2-May,1267,LAKE TUNDUMA,1281,T684 ENG,100,3926,392600,Dar
69,2-May,1267,LAKE TUNDUMA,1279,T726 EQL,100,3926,392600,Dar
70,2-May,1267,LAKE TUNDUMA,1280,T729 EQL,100,3926,392600,Dar
71,2-May,1267,LAKE TUNDUMA,1282,T730 EET,100,3926,392600,Dar
72,2-May,1267,LAKE TUNDUMA,1520,T854 EKS,50,3926,196300,Dar
73,2-May,1267,LAKE TUNDUMA,1516,T861 EKS,100,3926,392600,Dar
74,2-May,1267,LAKE TUNDUMA,1515,T891 EEU,100,3926,392600,Dar
75,2-May,1267,LAKE TUNDUMA,1523,T657 ECQ,50,3926,196300,Dar
76,2-May,1267,LAKE TUNDUMA,1529,T679 ENG,50,3926,196300,Dar
77,2-May,1267,LAKE TUNDUMA,1519,T405 EAF,50,3926,196300,Dar
78,2-May,1267,LAKE TUNDUMA,1316,T364 EQF,100,3926,392600,Dar
79,2-May,1267,LAKE TUNDUMA,1315,T716 EQD,100,3926,392600,Dar
80,2-May,1267,LAKE TUNDUMA,1319,T357 EQF,100,3926,392600,Dar
81,2-May,1267,LAKE TUNDUMA,1312,T665 ECQ,100,3926,392600,Dar
82,2-May,1267,LAKE TUNDUMA,1318,T715 EQD,100,3926,392600,Dar
83,2-May,1267,LAKE TUNDUMA,1314,T356 EQF,100,3926,392600,Dar
84,2-May,1267,LAKE TUNDUMA,1264,T634 EAF,100,3926,392600,Dar
85,2-May,1267,LAKE TUNDUMA,1262,T614 ENG,100,3926,392600,Dar
86,2-May,1268,INFINITY,1286,T159 EGJ,400,3858,1543200,Dar
87,2-May,1268,INFINITY,1517,T160 EGJ,400,3858,1543200,Dar
88,2-May,1268,INFINITY,1522,T166 EGJ,400,3858,1543200,Dar
89,2-May,1268,INFINITY,1518,T216 ELV,350,3858,1350300,Dar
90,2-May,1268,INFINITY,1317,T358 EQF,400,3858,1543200,Dar
91,2-May,1268,INFINITY,1000,T510 EEQ,400,3858,1543200,Dar
92,2-May,1268,INFINITY,1521,T554 EKT,350,3858,1350300,Dar
93,2-May,1268,INFINITY,1285,T606 EDD,400,3858,1543200,Dar
94,2-May,1268,INFINITY,1259,T635 EAF,400,3858,1543200,Dar
95,2-May,1268,INFINITY,1512,T659 ECQ,350,3858,1350300,Dar
96,2-May,1268,INFINITY,1514,T662 ECQ,400,3858,1543200,Dar
97,2-May,1268,INFINITY,1284,T681 EAQ,400,3858,1543200,Dar
98,2-May,1268,INFINITY,1281,T684 ENG,400,3858,1543200,Dar
99,2-May,1268,INFINITY,1279,T726 EQL,400,3858,1543200,Dar
100,2-May,1268,INFINITY,1280,T729 EQL,400,3858,1543200,Dar
101,2-May,1268,INFINITY,1282,T730 EET,400,3858,1543200,Dar
102,2-May,1268,INFINITY,1520,T854 EKS,350,3858,1350300,Dar
103,2-May,1268,INFINITY,1516,T861 EKS,400,3858,1543200,Dar
104,2-May,1268,INFINITY,1515,T891 EEU,400,3858,1543200,Dar
105,2-May,1268,INFINITY,1523,T657 ECQ,350,3858,1350300,Dar
106,2-May,1268,INFINITY,1529,T679 ENG,350,3858,1350300,Dar
107,2-May,1268,INFINITY,1519,T405 EAF,350,3858,1350300,Dar
108,2-May,1268,INFINITY,1316,T364 EQF,400,3858,1543200,Dar
109,2-May,1268,INFINITY,1315,T716 EQD,400,3858,1543200,Dar
110,2-May,1268,INFINITY,1319,T357 EQF,400,3858,1543200,Dar
111,2-May,1268,INFINITY,1312,T665 ECQ,400,3858,1543200,Dar
112,2-May,1268,INFINITY,1318,T715 EQD,400,3858,1543200,Dar
113,2-May,1268,INFINITY,1314,T356 EQF,400,3858,1543200,Dar
114,2-May,1268,INFINITY,1264,T634 EAF,400,3858,1543200,Dar
115,2-May,1268,INFINITY,1262,T614 ENG,400,3858,1543200,Dar
116,3-May,1269,GBP MOROGORO,1419,T211 ELV,380,3840,1459200,Kfm
117,3-May,1270,LAKE CHILABOMBWE,1152,T687 ENG ,70,1.3,91,Dar
118,3-May,1270,LAKE CHILABOMBWE,1149,T711 DXY,70,1.3,91,Dar
119,3-May,1270,LAKE CHILABOMBWE,1151,T603 EDD,70,1.3,91,Dar
120,3-May,1270,LAKE CHILABOMBWE,1150,T572 EAF,70,1.3,91,Dar
121,3-May,1270,LAKE CHILABOMBWE,1153,T123 DZY,70,1.3,91,Dar
122,3-May,1271,GBP MOROGORO,1480,T608 EDD,380,3840,1459200,Kolwezi
123,3-May,1271,GBP MOROGORO,1431,T839 EKS,380,3840,1459200,Kfm
124,3-May,1272,INFINITY,1411,T244 ELV,450,3858,1736100,Kolwezi
125,3-May,1272,INFINITY,1427,T642 EAF,450,3858,1736100,Kolwezi
126,3-May,1272,INFINITY,1500,T531 DRF,450,3858,1736100,Lusaka
127,3-May,1272,INFINITY,1485,T753 ELY,450,3858,1736100,Kolwezi
128,3-May,1272,INFINITY,1504,T533 DRF,450,3858,1736100,Lusaka
129,3-May,1272,INFINITY,1234,T709 EHJ,500,3858,1929000,Kolwezi
130,3-May,1272,INFINITY,1193,T167 DZY,500,3858,1929000,Kolwezi
131,3-May,1273,LAKE KAPIRI,1411,T244 ELV,560,1.3,728,Kolwezi
132,3-May,1273,LAKE KAPIRI,1427,T642 EAF,600,1.3,780,Kolwezi
133,3-May,1273,LAKE KAPIRI,1500,T531 DRF,50,1.3,65,Lusaka
134,3-May,1273,LAKE KAPIRI,1485,T753 ELY,560,1.3,728,Kolwezi
135,3-May,1273,LAKE KAPIRI,1504,T533 DRF,50,1.3,65,Lusaka
136,3-May,1273,LAKE KAPIRI,1234,T709 EHJ,560,1.3,728,Kolwezi
137,3-May,1273,LAKE KAPIRI,1193,T167 DZY,560,1.3,728,Kolwezi
138,4-May,1274,LAKE CHILABOMBWE,1217,T551 DPN,70,1.3,91,Msa
139,4-May,1275,LAKE KAPIRI,1217,T551 DPN,350,1.3,455,Msa
140,4-May,1276,INFINITY,1429,T460 EAG,500,3858,1929000,Kolwezi
141,4-May,1276,INFINITY,1419,T211 ELV,500,3858,1929000,Kfm
142,4-May,1276,INFINITY,1490,T663 EAQ,450,3858,1736100,Kolwezi
143,4-May,1276,INFINITY,1421,T208 EHE,450,3858,1736100,Kfm
144,4-May,1276,INFINITY,1245,T617 ENG,450,3858,1736100,Kolwezi
145,4-May,1276,INFINITY,1502,T839 DNH,450,3858,1736100,Lusaka
146,4-May,1276,INFINITY,1431,T839 EKS,500,3858,1929000,Kfm
147,4-May,1276,INFINITY,1418,T706 DXY,450,3858,1736100,Kfm
148,4-May,1277,LAKE KAPIRI,1429,T460 EAG,560,1.3,728,Kolwezi
149,4-May,1277,LAKE KAPIRI,1419,T211 ELV,520,1.3,676,Kfm
150,4-May,1277,LAKE KAPIRI,1490,T663 EAQ,560,1.3,728,Kolwezi
151,4-May,1277,LAKE KAPIRI,1421,T208 EHE,520,1.3,676,Kfm
152,4-May,1277,LAKE KAPIRI,1245,T617 ENG,560,1.3,728,Kolwezi
153,4-May,1277,LAKE KAPIRI,1502,T839 DNH,50,1.3,65,Lusaka
154,4-May,1277,LAKE KAPIRI,1431,T839 EKS,520,1.3,676,Kfm
155,4-May,1277,LAKE KAPIRI,1418,T706 DXY,560,1.3,728,Kfm
156,4-May,1278,LAKE CHILABOMBWE,983,T699 EHJ,70,1.3,91,Dar
157,4-May,1278,LAKE CHILABOMBWE,984,T779 DWK,70,1.3,91,Dar
158,5-May,1279,LAKE CHILABOMBWE,1206,T652 ECQ,100,1.3,130,Dar
159,5-May,1280,LAKE TUNDUMA,1434,T581 DRE,100,3926,392600,Dar
160,5-May,1281,INFINITY,1434,T581 DRE,400,3858,1543200,Dar
161,5-May,1282,LAKE TUNDUMA,1272,T849 EKS,100,3926,392600,Dar
162,5-May,1282,LAKE TUNDUMA,1261,T770 DWK,100,3926,392600,Dar
163,5-May,1282,LAKE TUNDUMA,1269,T113 DVL,100,3926,392600,Dar
164,5-May,1282,LAKE TUNDUMA,1278,T728 EQL,100,3926,392600,Dar
165,5-May,1282,LAKE TUNDUMA,1435,T686 EAQ,100,3926,392600,Dar
166,5-May,1282,LAKE TUNDUMA,1436,T546 DRF,100,3926,392600,Dar
167,5-May,1282,LAKE TUNDUMA,1437,T532 DRF,100,3926,392600,Dar
168,5-May,1282,LAKE TUNDUMA,1249,T525 DRF,100,3926,392600,Dar
169,5-May,1282,LAKE TUNDUMA,1433,T552 DRE,100,3926,392600,Dar
170,5-May,1282,LAKE TUNDUMA,1347,T653 ECQ,100,3926,392600,Dar
171,5-May,1282,LAKE TUNDUMA,1440,T583 DRE,100,3926,392600,Dar
172,5-May,1282,LAKE TUNDUMA,1548,T591 DRE,100,3926,392600,Dar
173,5-May,1282,LAKE TUNDUMA,979,T632 EQC,100,3926,392600,Dar
174,5-May,1282,LAKE TUNDUMA,965,T641 EQC,100,3926,392600,Dar
175,5-May,1282,LAKE TUNDUMA,1212,T767 DNH,100,3926,392600,Msa
176,5-May,1282,LAKE TUNDUMA,1217,T551 DPN,100,3926,392600,Msa
177,5-May,1283,INFINITY,1272,T849 EKS,400,3858,1543200,Dar
178,5-May,1283,INFINITY,1261,T770 DWK,400,3858,1543200,Dar
179,5-May,1283,INFINITY,1269,T113 DVL,400,3858,1543200,Dar
180,5-May,1283,INFINITY,1278,T728 EQL,400,3858,1543200,Dar
181,5-May,1283,INFINITY,1435,T686 EAQ,400,3858,1543200,Dar
182,5-May,1283,INFINITY,1436,T546 DRF,400,3858,1543200,Dar
183,5-May,1283,INFINITY,1437,T532 DRF,400,3858,1543200,Dar
184,5-May,1283,INFINITY,1249,T525 DRF,400,3858,1543200,Dar
185,5-May,1283,INFINITY,1433,T552 DRE,400,3858,1543200,Dar
186,5-May,1283,INFINITY,1347,T653 ECQ,400,3858,1543200,Dar
187,5-May,1283,INFINITY,1440,T583 DRE,400,3858,1543200,Dar
188,5-May,1283,INFINITY,1548,T591 DRE,400,3858,1543200,Dar
189,5-May,1283,INFINITY,979,T632 EQC,400,3858,1543200,Dar
190,5-May,1283,INFINITY,965,T641 EQC,400,3858,1543200,Dar
191,5-May,1283,INFINITY,1212,T767 DNH,400,3858,1543200,Msa
192,5-May,1283,INFINITY,1217,T551 DPN,400,3858,1543200,Msa
193,5-May,1284,INFINITY,1231,T847 EKS,450,3858,1736100,Kolwezi
194,5-May,1284,INFINITY,1412,T117 DVL,450,3858,1736100,Kolwezi
195,5-May,1284,INFINITY,1413,T207 EHE,450,3858,1736100,Kolwezi
196,5-May,1284,INFINITY,1425,T473 EKZ,450,3858,1736100,Kolwezi
197,5-May,1285,LAKE KAPIRI,1231,T847 EKS,560,1.3,728,Kolwezi
198,5-May,1285,LAKE KAPIRI,1412,T117 DVL,580,1.3,754,Kolwezi
199,5-May,1285,LAKE KAPIRI,1189,T587 DRE,600,1.3,780,Kolwezi
200,5-May,1285,LAKE KAPIRI,1413,T207 EHE,560,1.3,728,Kolwezi
201,5-May,1285,LAKE KAPIRI,1425,T473 EKZ,560,1.3,728,Kolwezi
202,5-May,1286,GBP MOROGORO,,T577 EAF ,265,3840,1017600,
203,5-May,1287,LAKE CHILABOMBWE,1329,T135 EFP,90,1.3,117,Dar
204,5-May,1288,LAKE KAPIRI,1329,T135 EFP,350,1.3,455,Dar
205,5-May,1289,LAKE CHINGOLA,1209,T651 ECQ,130,1.3,169,Dar
206,5-May,1289,LAKE CHINGOLA,1206,T652 ECQ,160,1.3,208,Dar
207,6-May,1290,GBP KANGE,,T660 EAQ,890,3860,3435400,
208,6-May,1290,GBP KANGE,,T881 EEU,890,3860,3435400,
209,6-May,1291,CASH,1448,T862 EKS ,560,4860.570062,2721919.235,Kolwezi
210,6-May,1291,CASH,1402,T710 EHJ,560,4860.570062,2721919.235,Kolwezi
211,6-May,1291,CASH,1277,T730 EQL,350,4860.570062,1701199.522,Dar
212,6-May,1291,CASH,1278,T728 EQL,350,4860.570062,1701199.522,Dar
213,6-May,1291,CASH,1283,T680 ENG,350,4860.570062,1701199.522,Dar
214,6-May,1291,CASH,1217,T551 DPN ,350,4860.570062,1701199.522,Msa
215,6-May,1291,CASH,1436,T546 DRF ,350,4860.570062,1701199.522,Dar
216,6-May,1291,CASH,1445,T673 EAQ,560,4860.570062,2721919.235,Kolwezi
217,6-May,1291,CASH,1349,T541 EKT,350,4860.570062,1701199.522,Dar
218,6-May,1291,CASH,1348,T860 EKS,350,4860.570062,1701199.522,Dar
219,6-May,1291,CASH,1403,T990 EFN,560,4860.570062,2721919.235,Kolwezi
220,6-May,1291,CASH,1224,T604 DNY ,40,4860.570062,194422.8025,Dar
221,6-May,1291,CASH,1150,T572 EAF,350,4860.570062,1701199.522,Dar
222,6-May,1291,CASH,1152,T687 ENG,350,4860.570062,1701199.522,Dar
223,6-May,1291,CASH,1153,T123 DZY,350,4860.570062,1701199.522,Dar
224,6-May,1291,CASH,1149,T711 DXY,350,4860.570062,1701199.522,Dar
225,6-May,1291,CASH,1151,T603 EDD ,350,4860.570062,1701199.522,Dar
226,6-May,1292,CASH,983,T699 EHJ,70,4917.157143,344201,Dar
227,6-May,1292,CASH,984,T779 DWK,70,4917.157143,344201,Dar
228,6-May,1292,CASH,841,T543 DRF,80,4862,388960,Kitwe
229,6-May,1292,CASH,867,T593 DTB,20,4862,97240,Dar
230,6-May,1293,GBP KANGE,,T720 EET,790,4300,3397000,
231,6-May,1294,INFINITY,1488,T512 EGD,450,4300,1935000,Kolwezi
232,6-May,1294,INFINITY,1415,T509 EEQ,450,4300,1935000,Kolwezi
233,6-May,1295,LAKE KAPIRI,1488,T512 EGD,560,1.3,728,Kolwezi
234,6-May,1295,LAKE KAPIRI,1415,T509 EEQ,560,1.3,728,Kolwezi
235,6-May,1296,GBP MOROGORO,1383,T132 DZY,668,3840,2565120,Kolwezi
236,6-May,1297,GBP MOROGORO,1212,T767 DNH,100,4280,428000,Msa
237,6-May,1297,GBP MOROGORO,1217,T551 DPN,100,4280,428000,Msa
238,6-May,1297,GBP MOROGORO,1218,T776 DWK,100,4280,428000,Msa
239,6-May,1297,GBP MOROGORO,1224,T604 DNY,100,4280,428000,Msa
240,6-May,1297,GBP MOROGORO,1219,T114 DVL,100,4280,428000,Msa
241,6-May,1297,GBP MOROGORO,1225,T766 DWK,100,4280,428000,Msa
242,6-May,1298,GBP KANGE,1212,T767 DNH,70,4300,301000,Msa
243,6-May,1298,GBP KANGE,1217,T551 DPN,70,4300,301000,Msa
244,6-May,1298,GBP KANGE,1218,T776 DWK,70,4300,301000,Msa
245,6-May,1298,GBP KANGE,1224,T604 DNY,70,4300,301000,Msa
246,6-May,1298,GBP KANGE,1219,T114 DVL,70,4300,301000,Msa
247,6-May,1298,GBP KANGE,1225,T766 DWK,70,4300,301000,Msa
248,6-May,1299,LAKE CHILABOMBWE,1216,T794 DNH,70,1.3,91,Msa
249,6-May,1299,LAKE CHILABOMBWE,1219, T114 DVL,70,1.3,91,Msa
250,6-May,1299,LAKE CHILABOMBWE,1352, T709 EET ,70,1.3,91,Dar
251,6-May,1299,LAKE CHILABOMBWE,1223, T596 DRE,70,1.3,91,Msa
252,7-May,1300,LAKE CHILABOMBWE,1311,T474 EKZ,50,1.3,65,Dar
253,7-May,1300,LAKE CHILABOMBWE,1310,T477 EKZ,70,1.3,91,Dar
254,7-May,1300,LAKE CHILABOMBWE,1438,T580 DRE,50,1.3,65,Dar
255,7-May,1300,LAKE CHILABOMBWE,1439,T543 DRF,50,1.3,65,Dar
256,7-May,1300,LAKE CHILABOMBWE,1353,T664 ECQ,50,1.3,65,Dar
257,7-May,1300,LAKE CHILABOMBWE,1363,T724 EET,50,1.3,65,Dar
258,7-May,1300,LAKE CHILABOMBWE,1364,T703 EHJ,70,1.3,91,Dar
259,7-May,1300,LAKE CHILABOMBWE,1362,T565 EAF,50,1.3,65,Dar
260,7-May,1300,LAKE CHILABOMBWE,1513,T590 DRE,50,1.3,65,Dar
261,7-May,1300,LAKE CHILABOMBWE,1534,T123 DYY,50,1.3,65,Dar
262,7-May,1300,LAKE CHILABOMBWE,1535,T597 EDD,50,1.3,65,Dar
263,7-May,1300,LAKE CHILABOMBWE,cancelled,T542 EKT,50,1.3,65,Dar
264,7-May,1300,LAKE CHILABOMBWE,1537,T147 DZY,50,1.3,65,Dar
265,7-May,1300,LAKE CHILABOMBWE,1334,T681 ENG,50,1.3,65,Dar
266,7-May,1300,LAKE CHILABOMBWE,1525,T708 DXY,50,1.3,65,Dar
267,7-May,1300,LAKE CHILABOMBWE,1301,T543 EKT,50,1.3,65,Dar
268,7-May,1300,LAKE CHILABOMBWE,1308,T700 DXY,70,1.3,91,Dar
269,7-May,1300,LAKE CHILABOMBWE,1302,T475 EKZ,50,1.3,65,Dar
270,7-May,1300,LAKE CHILABOMBWE,1309,T546 EKT,50,1.3,65,Dar
271,7-May,1300,LAKE CHILABOMBWE,1550,T588 DRE,50,1.3,65,Dar
272,7-May,1300,LAKE CHILABOMBWE,1080,T699 DXY,50,1.3,65,Dar
273,7-May,1300,LAKE CHILABOMBWE,1381,T236 ELV,50,1.3,65,Dar
274,7-May,1301,LAKE KAPIRI,1311,T474 EKZ,350,1.3,455,Dar
275,7-May,1301,LAKE KAPIRI,1310,T477 EKZ,350,1.3,455,Dar
276,7-May,1301,LAKE KAPIRI,1438,T580 DRE,350,1.3,455,Dar
277,7-May,1301,LAKE KAPIRI,1439,T543 DRF,350,1.3,455,Dar
278,7-May,1301,LAKE KAPIRI,1353,T664 ECQ,390,1.3,507,Dar
279,7-May,1301,LAKE KAPIRI,1363,T724 EET,350,1.3,455,Dar
280,7-May,1301,LAKE KAPIRI,1364,T703 EHJ,350,1.3,455,Dar
281,7-May,1301,LAKE KAPIRI,1362,T565 EAF,350,1.3,455,Dar
282,7-May,1301,LAKE KAPIRI,1513,T590 DRE,350,1.3,455,Dar
283,7-May,1301,LAKE KAPIRI,1534,T123 DYY,350,1.3,455,Dar
284,7-May,1301,LAKE KAPIRI,cancelled,T597 EDD,350,1.3,455,Dar
285,7-May,1301,LAKE KAPIRI,1536,T542 EKT,350,1.3,455,Dar
286,7-May,1301,LAKE KAPIRI,1537,T147 DZY,350,1.3,455,Dar
287,7-May,1301,LAKE KAPIRI,1334,T681 ENG,350,1.3,455,Dar
288,7-May,1301,LAKE KAPIRI,1525,T708 DXY,350,1.3,455,Dar
289,7-May,1301,LAKE KAPIRI,1301,T543 EKT,350,1.3,455,Dar
290,7-May,1301,LAKE KAPIRI,1308,T700 DXY,350,1.3,455,Dar
