S/No.,Date,LPO No.,Diesel @,DO/SDO, Truck No,Ltrs,Price per Ltr,Amount,Destinations
291,7-May,1301,LAKE KAPIRI,cancelled,T475 EKZ,350,1.3,455,Dar
292,7-May,1301,LAKE KAPIRI,1309,T546 EKT,350,1.3,455,Dar
293,7-May,1301,LAKE KAPIRI,1550,T588 DRE,350,1.3,455,Dar
294,7-May,1301,LAKE KAPIRI,1080,T699 DXY,350,1.3,455,Dar
295,7-May,1301,LAKE KAPIRI,1381,T236 ELV,350,1.3,455,Dar
296,7-May,1302,LAKE CHILABOMBWE,1544,T702 EHJ,70,1.3,91,Dar
297,7-May,1302,LAKE CHILABOMBWE,1287,T970 DVK,70,1.3,91,Dar
298,7-May,1302,LAKE CHILABOMBWE,1330,T909 EQC,70,1.3,91,Dar
299,7-May,1302,LAKE CHILABOMBWE,1328,T146 EFP,70,1.3,91,Dar
300,7-May,1303,LAKE KAPIRI,1544,T702 EHJ,350,1.3,455,Dar
301,7-May,1303,LAKE KAPIRI,1287,T970 DVK,350,1.3,455,Dar
302,7-May,1303,LAKE KAPIRI,1330,T909 EQC,350,1.3,455,Dar
303,7-May,1303,LAKE KAPIRI,1328,T146 EFP,350,1.3,455,Dar
304,7-May,1304,LAKE KAPIRI,1216,T794 DNH,350,1.3,455,Msa
305,7-May,1304,LAKE KAPIRI,1219, T114 DVL,350,1.3,455,Msa
306,7-May,1304,LAKE KAPIRI,1352, T709 EET ,350,1.3,455,Dar
307,7-May,1304,LAKE KAPIRI,1223, T596 DRE,350,1.3,455,Msa
308,8-May,1305,LAKE NDOLA,1222,T240 ELV,50,1.3,65,Msa
309,8-May,1306,LAKE KAPIRI,1222,T240 ELV,350,1.3,455,Msa
310,8-May,1307,INFINITY,1045,T793 DNH,450,4300,1935000,Kitwe
311,8-May,1307,INFINITY,1233,T103 DVL,450,4300,1935000,Kolwezi
312,8-May,1307,INFINITY,1480,T608 EDD',500,4300,2150000,Kolwezi
313,8-May,1307,INFINITY,1567,T217 ELV,450,4300,1935000,Tfm
314,8-May,1307,INFINITY,1494,T653 DRE,450,4300,1935000,Kitwe
315,8-May,1307,INFINITY,1559,T846 EKS,450,4300,1935000,Tfm
316,8-May,1307,INFINITY,1554,T628 EQC,450,4300,1935000,Kfm
317,8-May,1307,INFINITY,1495,T984 DVK,450,4300,1935000,Kitwe
318,8-May,1307,INFINITY,1558,T143 DZY,450,4300,1935000,Tfm
319,8-May,1308,LAKE KAPIRI,1045,T793 DNH,80,1.3,104,Kitwe
320,8-May,1308,LAKE KAPIRI,1233,T103 DVL,560,1.3,728,Kolwezi
321,8-May,1308,LAKE KAPIRI,1480,T608 EDD',560,1.3,728,Kolwezi
322,8-May,1308,LAKE KAPIRI,1567,T217 ELV,460,1.3,598,Tfm
323,8-May,1308,LAKE KAPIRI,1494,T653 DRE,80,1.3,104,Kitwe
324,8-May,1308,LAKE KAPIRI,1559,T846 EKS,460,1.3,598,Tfm
325,8-May,1308,LAKE KAPIRI,1554,T628 EQC,520,1.3,676,Kfm
326,8-May,1308,LAKE KAPIRI,1495,T984 DVK,70,1.3,91,Kitwe
327,8-May,1308,LAKE KAPIRI,1558,T143 DZY,460,1.3,598,Tfm
328,8-May,1309,INFINITY,1270,T663 ECQ,20,4300,86000,Dar
329,8-May,1309,INFINITY,1263,T461 EAG,20,4300,86000,Dar
330,8-May,1309,INFINITY,1265,T102 EFP,20,4300,86000,Dar
331,8-May,1309,INFINITY,1266,T751 ELY,20,4300,86000,Dar
332,8-May,1309,INFINITY,1271,T791 EEU,20,4300,86000,Dar
333,8-May,1309,INFINITY,1348,T860 EKS,20,4300,86000,Dar
334,8-May,1309,INFINITY,1351,T704 DXY,20,4300,86000,Dar
335,8-May,1309,INFINITY,1350,T133 EFP,20,4300,86000,Dar
336,8-May,1309,INFINITY,1277,T730 EQL,20,4300,86000,Dar
337,8-May,1309,INFINITY,1283,T680 ENG,20,4300,86000,Dar
338,8-May,1310,LAKE KAPIRI,1154,T592 EDD,400,1.3,520,Dar
339,8-May,1311,LAKE TUNDUMA,1154,T592 EDD,100,4399,439900,Dar
340,8-May,1312,INFINITY,1154,T592 EDD,400,4300,1720000,Dar
341,8-May,1313,LAKE CHILABOMBWE,1154,T166 EGJ,90,1.3,117,Dar
342,8-May,1314,GBP MOROGORO,,T575 EAF,50,4280,214000,
343,9-May,1315,LAKE KITWE,1594,T976 DVK ,50,1.3,65,
344,9-May,1315,LAKE KITWE,1438,T580 DRE,50,1.3,65,Dar
345,9-May,1315,LAKE KITWE,1551,T593 DRE,50,1.3,65,
346,9-May,1315,LAKE KITWE,1552,T595 DRE ,50,1.3,65,
347,9-May,1316,LAKE KAPIRI,1594,T976 DVK ,350,1.3,455,Dar
348,9-May,1316,LAKE KAPIRI,1551,T593 DRE,350,1.3,455,Dar
349,9-May,1316,LAKE KAPIRI,1552,T595 DRE ,350,1.3,455,Dar
350,9-May,1317,INFINITY,1557,T808 EQC,450,4300,1935000,Tfm
351,9-May,1317,INFINITY,1474,T579 DRE,450,4300,1935000,Kitwe
352,9-May,1317,INFINITY,1487,T531 EGD,450,4300,1935000,Kolwezi
353,9-May,1317,INFINITY,1560,T107 DVL,450,4300,1935000,Tfm
354,9-May,1317,INFINITY,1561,T774 DWK,450,4300,1935000,Tfm
355,9-May,1318,LAKE KAPIRI,1557,T808 EQC,460,1.3,598,Tfm
356,9-May,1318,LAKE KAPIRI,1474,T579 DRE,40,1.3,52,Kitwe
357,9-May,1318,LAKE KAPIRI,1487,T531 EGD,560,1.3,728,Kolwezi
358,9-May,1318,LAKE KAPIRI,1560,T107 DVL,480,1.3,624,Tfm
359,9-May,1318,LAKE KAPIRI,1561,T774 DWK,480,1.3,624,Tfm
360,9-May,1319,CASH,1550,T588 DRE,70,4893.579167,342550.5417,Dar
361,9-May,1319,CASH,1439,T543 DRF,70,4893.579167,342550.5417,Dar
362,9-May,1319,CASH,867,T593 DTB,100,4893.579167,489357.9167,Dar
363,9-May,1320,LAKE CHINGOLA,1301,T543 EKT,90,1.3,117,Dar
364,9-May,1320,LAKE CHINGOLA,1519,T405 EAF,90,1.3,117,Dar
365,9-May,1320,LAKE CHINGOLA,1523,T657 ECQ,90,1.3,117,Dar
366,9-May,1320,LAKE CHINGOLA,1529,T679 ENG,90,1.3,117,Dar
367,10-May,1321,LAKE CHILABOMBWE,1000,T510 EEQ,20,1.3,26,Dar
368,10-May,1322,INFINITY,1416,T151 EFP,450,4300,1935000,Tfm
369,10-May,1322,INFINITY,1414,T605 EDD,450,4300,1935000,Kolwezi
370,10-May,1323,LAKE KAPIRI,1416,T151 EFP,460,1.3,598,Tfm
371,10-May,1323,LAKE KAPIRI,1414,T605 EDD,560,1.3,728,Kolwezi
372,10-May,1324,LAKE MPIKA,1409,T144 DZY,300,1.3,390,Kolwezi
373,10-May,1325,LAKE TUNDUMA,1352,T709 EET,100,4399,439900,Dar
374,10-May,1326,INFINITY,1352,T709 EET,400,4300,1720000,Dar
375,10-May,1327,CASH,1447,T 589 DTB,563.08,4263,2400410.04,Kolwezi
376,10-May,1328,LAKE TUNDUMA ,1222,T240 ELV,100,4399,439900,Msa
377,10-May,1329,INFINITY,1222,T240 ELV,400,4300,1720000,Msa
378,10-May,1330,LAKE CHILABOMBWE ,1317,T358 EQF,20,1.3,26,Dar
379,10-May,1330,LAKE CHILABOMBWE ,1316,T364 EQF,20,1.3,26,Dar
380,10-May,1330,LAKE CHILABOMBWE ,1319,T357 EQF,20,1.3,26,Dar
381,10-May,1330,LAKE CHILABOMBWE ,1315,T716 EQD,20,1.3,26,Dar
382,11-May,1331,LAKE CHILABOMBWE ,1356,T213 EHE,50,1.3,65,Dar
383,11-May,1331,LAKE CHILABOMBWE ,1527,T685 ENG,90,1.3,117,Dar
384,11-May,1331,LAKE CHILABOMBWE ,1530,T726 EET,90,1.3,117,Dar
385,11-May,1331,LAKE CHILABOMBWE ,1532,T204 EHE,90,1.3,117,Dar
386,11-May,1332,LAKE KAPIRI,1356,T213 EHE,350,1.3,455,Dar
387,11-May,1332,LAKE KAPIRI,1527,T685 ENG,350,1.3,455,Dar
388,11-May,1332,LAKE KAPIRI,1530,T726 EET,350,1.3,455,Dar
389,11-May,1332,LAKE KAPIRI,1532,T204 EHE,350,1.3,455,Dar
390,11-May,1333,LAKE TUNDUMA ,1477, T703 DXY ,40,4300,172000,Kolwezi
391,11-May,1334,LAKE SERENJE ,1229,T592 DRE,100,1.3,130,Mkushi
392,11-May,1335,LAKE TUNDUMA ,1216,T794 DNH,100,4399,439900,Msa
393,11-May,1335,LAKE TUNDUMA ,1223,T596 DRE,100,4399,439900,Msa
394,11-May,1336,INFINITY,1216,T794 DNH,400,4300,1720000,Msa
395,11-May,1336,INFINITY,1223,T596 DRE,400,4300,1720000,Msa
396,11-May,1337,LAKE TUNDUMA ,1527,T685 ENG,50,4399,219950,Dar
397,11-May,1337,LAKE TUNDUMA ,1530,T726 EET,50,4399,219950,Dar
398,11-May,1337,LAKE TUNDUMA ,1532,T204 EHE,100,4399,439900,Dar
399,11-May,1338,INFINITY,1527,T685 ENG,350,4300,1505000,Dar
400,11-May,1338,INFINITY,1530,T726 EET,350,4300,1505000,Dar
401,11-May,1338,INFINITY,1532,T204 EHE,350,4300,1505000,Dar
402,11-May,1339,INFINITY,1452,T132 EFP,450,4300,1935000,Kolwezi
403,11-May,1339,INFINITY,1496,T831 DNH,450,4300,1935000,Kitwe
404,11-May,1339,INFINITY,1585,T715 EET,450,4300,1935000,Tfm
405,11-May,1339,INFINITY,1497,T651 DRE,450,4300,1935000,Kitwe
406,11-May,1340,LAKE KAPIRI,1452,T132 EFP,560,1.3,728,Kolwezi
407,11-May,1340,LAKE KAPIRI,1496,T831 DNH,80,1.3,104,Kitwe
408,11-May,1340,LAKE KAPIRI,1585,T715 EET,460,1.3,598,Tfm
409,11-May,1340,LAKE KAPIRI,1497,T651 DRE,80,1.3,104,Kitwe
410,11-May,1341,LAKE CHILABOMBWE ,976,T642 EQC,110,1.3,143,Dar
411,11-May,1342,LAKE KAPIRI,976,T642 EQC,350,1.3,455,Dar
412,11-May,1343,GBP MOROGORO,,T568 EAF,80,4280,342400,
413,11-May,1343,GBP MOROGORO,,T701 DXY,29,4280,124120,
414,11-May,1343,GBP MOROGORO,,T525 DRF,30,4280,128400,
415,11-May,1344,LAKE SERENJE ,1168,T522 DRF,50,1.3,65,Chingola
416,11-May,1345,LAKE CHILABOMBWE ,1318,T715 EQD,20,1.3,26,Dar
417,11-May,1346,LAKE KAPIRI,,T465 DTY,400,1.58,632,
418,11-May,1346,LAKE KAPIRI,,T983 DEF,450,1.58,711,
419,11-May,1346,LAKE KAPIRI,,T690 ECB,500,1.58,790,
420,11-May,1346,LAKE KAPIRI,,T667 EFV,500,1.58,790,
421,11-May,1346,LAKE KAPIRI,,T890 DXS,500,1.58,790,
422,11-May,1347,INFINITY,1474,T579 DRE,20,4300,86000,Kitwe
423,11-May,1348,LAKE KAPIRI,1528,T636 EAF,340,1.3,442,Dar
424,12-May,1349,LAKE KITWE,1595,T978 DVK,50,1.3,65,Dar
425,12-May,1349,LAKE KITWE,1596,T521 DRF,50,1.3,65,Dar
426,12-May,1349,LAKE KITWE,1597,T530 DRF,50,1.3,65,Dar
427,12-May,1349,LAKE KITWE,1598,T579 DRE,50,1.3,65,Dar
428,12-May,1349,LAKE KITWE,1599,T793 DNH,50,1.3,65,Dar
429,12-May,1350,LAKE KAPIRI,1595,T978 DVK,350,1.3,455,Dar
430,12-May,1350,LAKE KAPIRI,1596,T521 DRF,350,1.3,455,Dar
431,12-May,1350,LAKE KAPIRI,1597,T530 DRF,350,1.3,455,Dar
432,12-May,1350,LAKE KAPIRI,1598,T579 DRE,350,1.3,455,Dar
433,12-May,1350,LAKE KAPIRI,1599,T793 DNH,350,1.3,455,Dar
434,12-May,1351,LAKE TUNDUMA,1513,T590 DRE ,100,4399,439900,Dar
435,12-May,1352,INFINITY,1513,T590 DRE ,400,4300,1720000,Dar
436,12-May,1353,LAKE KAPIRI,1601,T522 DPN,160,1.3,208,Chingola
437,12-May,1354,LAKE CHILABOMBWE ,1607,T610 EDD,50,1.3,65,Dar
438,12-May,1354,LAKE CHILABOMBWE ,1608,T831 EKS,50,1.3,65,Dar
439,12-May,1354,LAKE CHILABOMBWE ,1609,T471 EDD,50,1.3,65,Dar
440,12-May,1354,LAKE CHILABOMBWE ,1611,T165 EGJ,100,1.3,130,Dar
441,12-May,1354,LAKE CHILABOMBWE ,1612,T454 EAG,50,1.3,65,Dar
442,12-May,1354,LAKE CHILABOMBWE ,1613,T237 ELV,50,1.3,65,Dar
443,12-May,1354,LAKE CHILABOMBWE ,1614,T241 ELV,50,1.3,65,Dar
444,12-May,1354,LAKE CHILABOMBWE ,1615,T468 EKZ,50,1.3,65,Dar
445,12-May,1355,LAKE KAPIRI,cancelled,T610 EDD,350,1.3,455,Dar
446,12-May,1355,LAKE KAPIRI,1608,T831 EKS,350,1.3,455,Dar
447,12-May,1355,LAKE KAPIRI,1609,T471 EDD,350,1.3,455,Dar
448,12-May,1355,LAKE KAPIRI,1611,T165 EGJ,350,1.3,455,Dar
449,12-May,1355,LAKE KAPIRI,1612,T454 EAG,350,1.3,455,Dar
450,12-May,1355,LAKE KAPIRI,1613,T237 ELV,350,1.3,455,Dar
451,12-May,1355,LAKE KAPIRI,1614,T241 ELV,350,1.3,455,Dar
452,12-May,1355,LAKE KAPIRI,1615,T468 EKZ,350,1.3,455,Dar
453,12-May,1356,LAKE CHILABOMBWE ,1354,T996 EFN,70,1.3,91,Dar
454,12-May,1357,LAKE KAPIRI,1354,T996 EFN,350,1.3,455,Dar
455,12-May,1358,LAKE CHINGOLA,1344,T683 ENG,70,1.3,91,Dar
456,12-May,1359,LAKE CHILABOMBWE ,1292,T569 EQF,70,1.3,91,Dar
457,12-May,1359,LAKE CHILABOMBWE ,1320,T355 EQF,70,1.3,91,Dar
458,12-May,1359,LAKE CHILABOMBWE ,1337,T678 ENG,50,1.3,65,Dar
459,12-May,1359,LAKE CHILABOMBWE ,1338,T750 ELY,50,1.3,65,Dar
460,12-May,1359,LAKE CHILABOMBWE ,1355,T984 EFN,70,1.3,91,Dar
461,12-May,1359,LAKE CHILABOMBWE ,1326,T571 EQF,70,1.3,91,Dar
462,12-May,1359,LAKE CHILABOMBWE ,1321,T365 EQF,70,1.3,91,Dar
463,12-May,1359,LAKE CHILABOMBWE ,1543,T807 EEU,50,1.3,65,Dar
464,12-May,1359,LAKE CHILABOMBWE ,1526,T484 EEQ,50,1.3,65,Dar
465,12-May,1359,LAKE CHILABOMBWE ,1341,T139 DZY,50,1.3,65,Dar
466,12-May,1359,LAKE CHILABOMBWE ,1324,T717 EQD,70,1.3,91,Dar
467,12-May,1359,LAKE CHILABOMBWE ,1325,T632 EQD,70,1.3,91,Dar
468,12-May,1359,LAKE CHILABOMBWE ,1303,T366 EQF,50,1.3,65,Dar
469,12-May,1359,LAKE CHILABOMBWE ,1322,T714 EQD,70,1.3,91,Dar
470,12-May,1359,LAKE CHILABOMBWE ,1340,T538 EKT,50,1.3,65,Dar
471,12-May,1359,LAKE CHILABOMBWE ,1343,T206 EHE,50,1.3,65,Dar
472,12-May,1359,LAKE CHILABOMBWE ,1531,T536 EEQ,50,1.3,65,Dar
473,12-May,1359,LAKE CHILABOMBWE ,1524,T517 EEQ,50,1.3,65,Dar
474,12-May,1359,LAKE CHILABOMBWE ,1336,T139 EFP,50,1.3,65,Dar
475,12-May,1359,LAKE CHILABOMBWE ,1335,T639 EAF,50,1.3,65,Dar
476,12-May,1359,LAKE CHILABOMBWE ,1313,T710 DXY,50,1.3,65,Dar
477,12-May,1359,LAKE CHILABOMBWE ,1342,T613 EDD,50,1.3,65,Dar
478,12-May,1359,LAKE CHILABOMBWE ,1339,T615 ENG,50,1.3,65,Dar
479,12-May,1359,LAKE CHILABOMBWE ,1346,T459 EAG,50,1.3,65,Dar
480,12-May,1359,LAKE CHILABOMBWE ,1345,T457 EAG,50,1.3,65,Dar
481,12-May,1359,LAKE CHILABOMBWE ,1323,T498 EQG,70,1.3,91,Dar
482,12-May,1360,LAKE KAPIRI,1292,T569 EQF,350,1.3,455,Dar
483,12-May,1360,LAKE KAPIRI,1320,T355 EQF,350,1.3,455,Dar
484,12-May,1360,LAKE KAPIRI,1337,T678 ENG,350,1.3,455,Dar
485,12-May,1360,LAKE KAPIRI,1338,T750 ELY,350,1.3,455,Dar
486,12-May,1360,LAKE KAPIRI,1355,T984 EFN,350,1.3,455,Dar
487,12-May,1360,LAKE KAPIRI,1326,T571 EQF,350,1.3,455,Dar
488,12-May,1360,LAKE KAPIRI,1321,T365 EQF,350,1.3,455,Dar
489,12-May,1360,LAKE KAPIRI,1543,T807 EEU,350,1.3,455,Dar
490,12-May,1360,LAKE KAPIRI,1526,T484 EEQ,350,1.3,455,Dar
491,12-May,1360,LAKE KAPIRI,1341,T139 DZY,350,1.3,455,Dar
492,12-May,1360,LAKE KAPIRI,1324,T717 EQD,350,1.3,455,Dar
493,12-May,1360,LAKE KAPIRI,1325,T632 EQD,350,1.3,455,Dar
494,12-May,1360,LAKE KAPIRI,cancelled,T366 EQF,350,1.3,455,Dar
495,12-May,1360,LAKE KAPIRI,1322,T714 EQD,350,1.3,455,Dar
496,12-May,1360,LAKE KAPIRI,cancelled,T538 EKT,350,1.3,455,Dar
497,12-May,1360,LAKE KAPIRI,1343,T206 EHE,350,1.3,455,Dar
498,12-May,1360,LAKE KAPIRI,1531,T536 EEQ,350,1.3,455,Dar
499,12-May,1360,LAKE KAPIRI,cancelled,T517 EEQ,350,1.3,455,Dar
500,12-May,1360,LAKE KAPIRI,1336,T139 EFP,350,1.3,455,Dar
501,12-May,1360,LAKE KAPIRI,1335,T639 EAF,350,1.3,455,Dar
502,12-May,1360,LAKE KAPIRI,1313,T710 DXY,350,1.3,455,Dar
503,12-May,1360,LAKE KAPIRI,1342,T613 EDD,350,1.3,455,Dar
504,12-May,1360,LAKE KAPIRI,1339,T615 ENG,350,1.3,455,Dar
505,12-May,1360,LAKE KAPIRI,1346,T459 EAG,350,1.3,455,Dar
506,12-May,1360,LAKE KAPIRI,1345,T457 EAG,350,1.3,455,Dar
507,12-May,1360,LAKE KAPIRI,1323,T498 EQG,350,1.3,455,Dar
508,12-May,1360,LAKE KAPIRI,1344,T683 ENG,350,1.3,455,Dar
509,12-May,1361,INFINITY,1474,T579 DRE,40,4300,172000,Kitwe
510,12-May,1362,LAKE TUNDUMA,1301,T543 EKT,100,4399,439900,Dar
511,12-May,1362,LAKE TUNDUMA,1308,T700 DXY,100,4399,439900,Dar
512,12-May,1362,LAKE TUNDUMA,1302,T475 EKZ,100,4399,439900,Dar
513,12-May,1362,LAKE TUNDUMA,1309,T546 EKT,100,4399,439900,Dar
514,12-May,1363,INFINITY,1309,T543 EKT,400,4300,1720000,Dar
515,12-May,1363,INFINITY,1308,T700 DXY,400,4300,1720000,Dar
516,12-May,1363,INFINITY,1302,T475 EKZ,400,4300,1720000,Dar
517,12-May,1363,INFINITY,1309,T546 EKT,400,4300,1720000,Dar
518,13-May,1364,LAKE SERENJE ,1502,T839 DNH,50,1.3,65,Lusaka
519,13-May,1365,GBP MOROGORO,1222,T240 ELV,100,4280,428000,Msa
520,13-May,1366,GBP KANGE,1222,T240 ELV,70,4300,301000,Msa
521,13-May,1367,INFINITY,1453,T633 EQD,450,4300,1935000,Kolwezi
522,13-May,1367,INFINITY,1486,T713 EET,450,4300,1935000,Kolwezi
523,13-May,1367,INFINITY,1587,T542 DRF,450,4300,1935000,LUBUMBASHI
524,13-May,1367,INFINITY,1556,T214 EHE,450,4300,1935000,Tfm
525,13-May,1367,INFINITY,1484,T501 EEQ,450,4300,1935000,Kolwezi
526,13-May,1367,INFINITY,1483,T137 DZY,450,4300,1935000,Kolwezi
527,13-May,1367,INFINITY,1481,T134 DZY,450,4300,1935000,Kolwezi
528,13-May,1367,INFINITY,1555,T582 DTB,450,4300,1935000,Tfm
529,13-May,1368,LAKE KAPIRI,1453,T633 EQD,560,1.3,728,Kolwezi
530,13-May,1368,LAKE KAPIRI,1486,T713 EET,560,1.3,728,Kolwezi
531,13-May,1368,LAKE KAPIRI,1587,T542 DRF,300,1.3,390,LUBUMBASHI
532,13-May,1368,LAKE KAPIRI,1556,T214 EHE,460,1.3,598,Tfm
533,13-May,1368,LAKE KAPIRI,1484,T501 EEQ,560,1.3,728,Kolwezi
534,13-May,1368,LAKE KAPIRI,1483,T137 DZY,560,1.3,728,Kolwezi
535,13-May,1368,LAKE KAPIRI,1481,T134 DZY,560,1.3,728,Kolwezi
536,13-May,1368,LAKE KAPIRI,1555,T582 DTB,500,1.3,650,Tfm
537,13-May,1369,INFINITY,1479,T510 EGD,450,4300,1935000,Kolwezi
538,13-May,1370,LAKE KAPIRI,1479,T510 EGD,560,1.53,856.8,Kolwezi
539,13-May,1371,GBP MOROGORO,NIL,T575 EAF,80,4280,342400,NIL
540,13-May,1372,LAKE CHILABOMBWE,1357,T533 EGD,50,1.53,76.5,Dar
541,13-May,1373,LAKE KAPIRI,1357,T533 EGD,350,1.53,535.5,Dar
542,13-May,1374,LAKE TUNDUMA,1438,T580 DRE,100,4399,439900,Dar
543,13-May,1375,INFINITY,1438,T580 DRE,400,4300,1720000,Dar
544,14-May,1376,INFINITY,1592,T843 DNH,450,4300,1935000,kitwe
545,14-May,1377,LAKE KAPIRI,1592,T843 DNH,80,1.53,122.4,kitwe
546,14-May,1378,LAKE TUNDUMA,1598,T579 DRE,410,4300,1763000,kitwe
547,14-May,1379,LAKE KAPIRI,1598,T579 DRE,80,1.53,122.4,kitwe
548,14-May,1380,LAKE KAPIRI,1503,T829 DNH,160,1.53,244.8,CHINGOLA
549,14-May,1381,GBP MOROGORO,NIL,T568 EAF,95,1.53,145.35,NIL
550,14-May,1381,GBP MOROGORO,NIL,T701 DXY,90,1.53,137.7,NIL
551,14-May,1382,LAKE TUNDUMA,1598,T579 DRE,20,4300,86000,kitwe
552,14-May,1383,INFINITY,1708,T630 EQD,450,4300,1935000,LUBUMBASHI
553,14-May,1383,INFINITY,1709,T668 ECQ,450,4300,1935000,LUBUMBASHI
554,14-May,1384,LAKE KITWE ,NIL,T521 DRF,20,1.53,30.6,NIL
555,14-May,1385,LAKE CHILABOMBWE ,1618,T218 ELV,50,1.53,76.5,DAR
556,14-May,1386,LAKE CHILABOMBWE ,980,T834 DYX,50,1.53,76.5,DAR
557,14-May,1387,LAKE KAPIRI,1618,T218 ELV,350,1.53,535.5,DAR
558,14-May,1387,LAKE KAPIRI,980,T834 DYX,350,1.53,535.5,DAR
559,14-May,1388,LAKE TUNDUMA ,1530,T726 EET,40,4399,175960,Dar
560,14-May,1389,CASH,1000,T510 EEQ,80,4860.570833,388845.6667,Dar
561,14-May,1389,CASH,1060,T592 DRE,60,4860.570833,291634.25,Dar
562,14-May,1389,CASH,1440,T583 DRE,60,4860.570833,291634.25,Dar
563,14-May,1389,CASH,1606,T829 DNH,40,4860.570833,194422.8333,Dar
564,14-May,1390,LAKE CHILABOMBWE ,965,T641 EQC,50,1.53,76.5,Dar
565,14-May,1391,LAKE KAPIRI,965,T641 EQC,350,1.53,535.5,Dar
566,14-May,1392,LAKE NDOLA,1549,T589 DRE,50,1.53,76.5,Dar
567,14-May,1393,LAKE KAPIRI,1549,T589 DRE,350,1.53,535.5,Dar
568,14-May,1394,LAKE TUNDUMA ,1287,T970 DVK,100,4399,439900,Dar
569,14-May,1395,INFINITY,1287,T970 DVK,400,4300,1720000,Dar
570,15-May,1396,GBP MOROGORO,1216,T794 DNH,100,4280,428000,Msa
571,15-May,1397,GBP KANGE,1216,T794 DNH,70,4300,301000,Msa
572,15-May,1398,LAKE TUNDUMA ,1551,T593 DRE,100,4399,439900,Dar
573,15-May,1399,INFINITY,1551,T593 DRE,400,4300,1720000,Dar
574,15-May,1400,GBP MOROGORO,Nill,T640 EAF,100,4280,428000,
575,15-May,1401,LAKE TUNDUMA ,1528,T636 EAF,100,4399,439900,Dar
576,15-May,1402,INFINITY,1528,T636 EAF,400,4300,1720000,Dar
577,15-May,1403,LAKE TUNDUMA ,976,T642 EQC,100,4399,439900,Dar
578,15-May,1404,INFINITY,976,T642 EQC,400,4300,1720000,Dar
579,15-May,1405,LAKE CHILABOMBWE ,1327,T572 EQF,70,1.53,107.1,Dar
580,15-May,1406,LAKE KAPIRI,1327,T572 EQF,350,1.53,535.5,Dar
581,15-May,1407,INFINITY,1573,T594 EDD,450,4300,1935000,Tfm
582,15-May,1407,INFINITY,1725,T705 EHJ,450,4300,1935000,Kolwezi
