S/No.,Date,LPO No.,Diesel @,DO/SDO, Truck No,Ltrs,Price per Ltr,Amount,Destinations
1147,26-May,1528,LAKE TUNDUMA ,1366,T686 ENG,100,4399,439900,Dar
1148,26-May,1528,LAKE TUNDUMA ,1895,T528 EEQ,100,4399,439900,Dar
1149,26-May,1528,LAKE TUNDUMA ,1855,T239 ELV,100,4399,439900,Dar
1150,26-May,1528,LAKE TUNDUMA ,1616,T824 DNY,100,4399,439900,Dar
1151,26-May,1528,LAKE TUNDUMA ,1856,T157 EGJ,100,4399,439900,Dar
1152,26-May,1528,LAKE TUNDUMA ,1857,T424 EAF,100,4399,439900,Dar
1153,26-May,1528,LAKE TUNDUMA ,1622,T698 DXY,100,4399,439900,Dar
1154,26-May,1528,LAKE TUNDUMA ,1620,T806 EQC,100,4399,439900,Dar
1155,26-May,1528,LAKE TUNDUMA ,1621,T614 EDD,100,4399,439900,Dar
1156,26-May,1528,LAKE TUNDUMA ,1637,T154 EGJ,100,4399,439900,Dar
1157,26-May,1528,LAKE TUNDUMA ,1623,T219 ELV,100,4399,439900,Dar
1158,26-May,1528,LAKE TUNDUMA ,1643,T221 ELV,100,4399,439900,Dar
1159,26-May,1528,LAKE TUNDUMA ,1624,T841 EKS,100,4399,439900,Dar
1160,26-May,1528,LAKE TUNDUMA ,1639,T487 EEQ,100,4399,439900,Dar
1161,26-May,1528,LAKE TUNDUMA ,1642,T991 EFN,100,4399,439900,Dar
1162,26-May,1528,LAKE TUNDUMA ,1649,T758 ELY,100,4399,439900,Dar
1163,26-May,1528,LAKE TUNDUMA ,1650,T534 EGD,100,4399,439900,Dar
1164,26-May,1528,LAKE TUNDUMA ,1651,T905 EQC,100,4399,439900,Dar
1165,26-May,1528,LAKE TUNDUMA ,1627,T805 EQC,100,4399,439900,Dar
1166,26-May,1528,LAKE TUNDUMA ,1629,T156 EGJ,100,4399,439900,Dar
1167,26-May,1528,LAKE TUNDUMA ,1539,T167 EGJ,100,4399,439900,Dar
1168,26-May,1528,LAKE TUNDUMA ,1682,T462 EAG,100,4399,439900,Dar
1169,26-May,1528,LAKE TUNDUMA ,1598,T579 DRE,100,4399,439900,Dar
1170,26-May,1528,LAKE TUNDUMA ,1812,T653 DRE,100,4399,439900,Dar
1171,26-May,1529,INFINITY,1647,T852 EKS,400,4300,1720000,Dar
1172,26-May,1529,INFINITY,1645,T790 EEU,400,4300,1720000,Dar
1173,26-May,1529,INFINITY,1331,T851 EKS,400,4300,1720000,Dar
1174,26-May,1529,INFINITY,1533,T972 DVK,400,4300,1720000,Dar
1175,26-May,1529,INFINITY,1299,T126 EFP,400,4300,1720000,Dar
1176,26-May,1529,INFINITY,1628,T168 EGJ,400,4300,1720000,Dar
1177,26-May,1529,INFINITY,1365,T478 EKZ,400,4300,1720000,Dar
1178,26-May,1529,INFINITY,1371,T602 EAG,400,4300,1720000,Dar
1179,26-May,1529,INFINITY,1367,T453 EAG,400,4300,1720000,Dar
1180,26-May,1529,INFINITY,1368,T158 DZY,400,4300,1720000,Dar
1181,26-May,1529,INFINITY,1376,T708 EET,400,4300,1720000,Dar
1182,26-May,1529,INFINITY,1369,T682 ENG,400,4300,1720000,Dar
1183,26-May,1529,INFINITY,1375,T658  ECQ,400,4300,1720000,Dar
1184,26-May,1529,INFINITY,1374,T768 DWK,400,4300,1720000,Dar
1185,26-May,1529,INFINITY,1373,T539 EKT,400,4300,1720000,Dar
1186,26-May,1529,INFINITY,1372,T469 EKZ,400,4300,1720000,Dar
1187,26-May,1529,INFINITY,1370,T759 ELY,400,4300,1720000,Dar
1188,26-May,1529,INFINITY,1366,T686 ENG,400,4300,1720000,Dar
1189,26-May,1529,INFINITY,1895,T528 EEQ,400,4300,1720000,Dar
1190,26-May,1529,INFINITY,1855,T239 ELV,400,4300,1720000,Dar
1191,26-May,1529,INFINITY,1616,T824 DNY,400,4300,1720000,Dar
1192,26-May,1529,INFINITY,1856,T157 EGJ,400,4300,1720000,Dar
1193,26-May,1529,INFINITY,1857,T424 EAF,400,4300,1720000,Dar
1194,26-May,1529,INFINITY,1622,T698 DXY,400,4300,1720000,Dar
1195,26-May,1529,INFINITY,1620,T806 EQC,400,4300,1720000,Dar
1196,26-May,1529,INFINITY,1621,T614 EDD,400,4300,1720000,Dar
1197,26-May,1529,INFINITY,1637,T154 EGJ,400,4300,1720000,Dar
1198,26-May,1529,INFINITY,1623,T219 ELV,400,4300,1720000,Dar
1199,26-May,1529,INFINITY,1643,T221 ELV,400,4300,1720000,Dar
1200,26-May,1529,INFINITY,1624,T841 EKS,400,4300,1720000,Dar
1201,26-May,1529,INFINITY,1639,T487 EEQ,400,4300,1720000,Dar
1202,26-May,1529,INFINITY,1642,T991 EFN,400,4300,1720000,Dar
1203,26-May,1529,INFINITY,1649,T758 ELY,400,4300,1720000,Dar
1204,26-May,1529,INFINITY,1650,T534 EGD,400,4300,1720000,Dar
1205,26-May,1529,INFINITY,1651,T905 EQC,400,4300,1720000,Dar
1206,26-May,1529,INFINITY,1627,T805 EQC,400,4300,1720000,Dar
1207,26-May,1529,INFINITY,1629,T156 EGJ,400,4300,1720000,Dar
1208,26-May,1529,INFINITY,1539,T167 EGJ,400,4300,1720000,Dar
1209,26-May,1529,INFINITY,1682,T462 EAG,400,4300,1720000,Dar
1210,26-May,1529,INFINITY,1598,T579 DRE,400,4300,1720000,Dar
1211,26-May,1529,INFINITY,1812,T653 DRE,400,4300,1720000,Dar
1212,26-May,1530,LAKE CHILABOMBWE ,1300,T160 DZY,130,1.53,198.9,Dar
1213,26-May,1530,LAKE CHILABOMBWE ,1625,T767 DWK,50,1.53,76.5,Dar
1214,26-May,1530,LAKE CHILABOMBWE ,1377,T486 EEQ,50,1.53,76.5,Dar
1215,26-May,1530,LAKE CHILABOMBWE ,1619,T213 ELV,90,1.53,137.7,Dar
1216,26-May,1530,LAKE CHILABOMBWE ,1652,T574 EAF,110,1.53,168.3,Dar
1217,26-May,1530,LAKE CHILABOMBWE ,1653,T513 EGD,110,1.53,168.3,Dar
1218,26-May,1530,LAKE CHILABOMBWE ,1858,T514 EGD,90,1.53,137.7,Dar
1219,26-May,1530,LAKE CHILABOMBWE ,1641,T604 EDD,90,1.53,137.7,Dar
1220,26-May,1530,LAKE CHILABOMBWE ,1694,T797 EEU,90,1.53,137.7,Dar
1221,26-May,1530,LAKE CHILABOMBWE ,1695,T906 EQC,90,1.53,137.7,Dar
1222,26-May,1530,LAKE CHILABOMBWE ,1379,T684 EAQ,50,1.53,76.5,Dar
1223,26-May,1531,LAKE KAPIRI,1300,T160 DZY,350,1.53,535.5,Dar
1224,26-May,1531,LAKE KAPIRI,1625,T767 DWK,350,1.53,535.5,Dar
1225,26-May,1531,LAKE KAPIRI,1377,T486 EEQ,350,1.53,535.5,Dar
1226,26-May,1531,LAKE KAPIRI,1619,T213 ELV,350,1.53,535.5,Dar
1227,26-May,1531,LAKE KAPIRI,1652,T574 EAF,350,1.53,535.5,Dar
1228,26-May,1531,LAKE KAPIRI,1653,T513 EGD,350,1.53,535.5,Dar
1229,26-May,1531,LAKE KAPIRI,1858,T514 EGD,350,1.53,535.5,Dar
1230,26-May,1531,LAKE KAPIRI,1641,T604 EDD,350,1.53,535.5,Dar
1231,26-May,1531,LAKE KAPIRI,1694,T797 EEU,350,1.53,535.5,Dar
1232,26-May,1531,LAKE KAPIRI,1695,T906 EQC,350,1.53,535.5,Dar
1233,26-May,1531,LAKE KAPIRI,1379,T684 EAQ,350,1.53,535.5,Dar
1234,26-May,1532,CASH,1439,T543DRF ,50,4213,210650,Dar
1235,27-May,1533,LAKE CHILABOMBWE ,1616,T824DNY ,40,1.53,61.2,Dar
1236,27-May,1533,LAKE CHILABOMBWE ,1541,T679EAQ ,40,1.53,61.2,Dar
1237,27-May,1533,LAKE CHILABOMBWE ,1533,T972DVK ,40,1.53,61.2,Dar
1238,27-May,1533,LAKE CHILABOMBWE ,1540,T125DYY,40,1.53,61.2,Dar
1239,27-May,1533,LAKE CHILABOMBWE ,1617,T660ECQ,40,1.53,61.2,Dar
1240,27-May,1533,LAKE CHILABOMBWE ,1682,T462EAG ,60,1.53,91.8,Dar
1241,27-May,1534,INFINITY,1788,T684 ENG,450,4300,1935000,Commus
1242,27-May,1534,INFINITY,1790,T632 EQC,450,4300,1935000,Commus
1243,27-May,1534,INFINITY,1803,T776 DWK,450,4300,1935000,Kolwezi
1244,27-May,1535,LAKE KAPIRI,1788,T684 ENG,560,1.53,856.8,Commus
1245,27-May,1535,LAKE KAPIRI,1790,T632 EQC,560,1.53,856.8,Commus
1246,27-May,1535,LAKE KAPIRI,1803,T776 DWK,580,1.53,887.4,Kolwezi
1247,27-May,1536,LAKE KAPIRI,1601,T522 DPN ,350,1.53,535.5,Dar
1248,27-May,1537,LAKE TUNDUMA ,965,T641 EQC,70,4399,307930,Dar
1249,27-May,1538,INFINITY,1722,T532 DRF ,40,4300,172000,Kolwezi
1250,27-May,1539,LAKE KAPIRI,1896,T592 DRE,350,1.53,535.5,Dar
1251,27-May,1540,LAKE CHINGOLA,1347,T653 ECQ,290,1.53,443.7,Dar
1252,27-May,1540,LAKE CHINGOLA,1542,T714 EHJ,70,1.53,107.1,Dar
1253,28-May,1541,INFINITY,1751,T861 EKS,450,4300,1935000,Kolwezi
1254,28-May,1542,LAKE KAPIRI,1751,T861 EKS,560,1.53,856.8,Kolwezi
1255,28-May,1543,GBP MOROGORO,Nill,T715 DXY ,100,4280,428000,
1256,28-May,1543,GBP MOROGORO,Nill,T641 EAF,72,4280,308160,
1257,28-May,1543,GBP MOROGORO,Nill,T701 DXY ,143,4280,612040,
1258,28-May,1543,GBP MOROGORO,Nill,T577 EAF,110,4280,470800,
1259,28-May,1543,GBP MOROGORO,Nill,T640 EAF,110,4280,470800,
1260,28-May,1543,GBP MOROGORO,Nill,T643 EAF,64,4280,273920,
1261,28-May,1544,GBP KANGE ,1910,T139 EFP ,450,4300,1935000,Kolwezi
1262,28-May,1545,GBP MOROGORO,1910,T139 EFP ,150,4280,642000,Kolwezi
1263,28-May,1546,CASH,,T102 EFP ,160,4248,679680,
1264,28-May,1546,CASH,,T642 EQC,160,4248,679680,
1265,28-May,1546,CASH,,T511 EGD ,120,4248,509760,
1266,28-May,1546,CASH,,T572 EQF,120,4248,509760,
1267,28-May,1546,CASH,,T591 DRE,120,4248,509760,
1268,28-May,1546,CASH,,T356 EQF,120,4248,509760,
1269,28-May,1546,CASH,,T715 EQD,120,4248,509760,
1270,28-May,1546,CASH,,T716 EQD,120,4248,509760,
1271,28-May,1546,CASH,,T365 EQF,150,4248,637200,
1272,28-May,1546,CASH,,T613 EDD,150,4248,637200,
1273,28-May,1546,CASH,,T538 EKT,100,4248,424800,
1274,28-May,1546,CASH,,T206 EHE,100,4248,424800,
1275,29-May,1547,LAKE MKUSHI,1682,T462 EAG,250,1.53,382.5,Dar
1276,29-May,1548,LAKE TUNDUMA,980,T834 DYX,100,4399,439900,Dar
1277,29-May,1549,INFINITY,980,T834 DYX,400,4300,1720000,Dar
1278,29-May,1550,LAKE CHILABOMBWE,1610,T644 EAF,70,1.53,107.1,Dar
1279,29-May,1551,LAKE LAKE KAPIRI,1610,T644 EAF,350,1.53,535.5,Dar
1280,29-May,1552,CASH,1682,T462 EAG,100,5021.026316,502102.6316,Dar
1281,29-May,1552,CASH,1598,T579 DRE ,20,5021.026316,100420.5263,Dar
1282,29-May,1552,CASH,1496,T831 DNH ,30,5021.026316,150630.7895,Kitwe
1283,29-May,1552,CASH,1347,T582 DRE,40,5021.026316,200841.0526,Dar
1284,29-May,1553,LAKE TUNDUMA,1619,T213 ELV,100,4399,439900,Dar
1285,29-May,1553,LAKE TUNDUMA,1652,T574 EAF,100,4399,439900,Dar
1286,29-May,1553,LAKE TUNDUMA,1653,T513 EGD,100,4399,439900,Dar
1287,29-May,1553,LAKE TUNDUMA,1695,T906 EQC,100,4399,439900,Dar
1288,29-May,1553,LAKE TUNDUMA,1694,T797 EEU,100,4399,439900,Dar
1289,29-May,1553,LAKE TUNDUMA,1814,T651 DRE,100,4399,439900,Dar
1290,29-May,1554,INFINITY,1619,T213 ELV,400,4300,1720000,Dar
1291,29-May,1554,INFINITY,1652,T574 EAF,400,4300,1720000,Dar
1292,29-May,1554,INFINITY,1653,T513 EGD,400,4300,1720000,Dar
1293,29-May,1554,INFINITY,1695,T906 EQC,400,4300,1720000,Dar
1294,29-May,1554,INFINITY,1694,T797 EEU,400,4300,1720000,Dar
1295,29-May,1554,INFINITY,1814,T651 DRE,400,4300,1720000,Dar
1296,29-May,1555,CASH,,T595 DTB ,150,4248,637200,
1297,29-May,1555,CASH,,T517 EEQ,150,4248,637200,
1298,29-May,1555,CASH,,T606 EDD,190,4248,807120,
1299,29-May,1555,CASH,,T635 EAF,160,4248,679680,
1300,29-May,1555,CASH,,T358 EQF,120,4248,509760,
1301,29-May,1555,CASH,,T685 ENG ,120,4248,509760,
1302,29-May,1555,CASH,,T498 EQG,120,4248,509760,
1303,29-May,1555,CASH,,T597 EDD,120,4248,509760,
1304,29-May,1555,CASH,,T807 EEU,120,4248,509760,
1305,29-May,1555,CASH,,T750 ELY ,120,4248,509760,
1306,29-May,1555,CASH,,T552 DRE,130,4248,552240,
1307,29-May,1556,LAKE MKUSHI,1534,T123 DYY,350,1.53,535.5,Dar
1308,29-May,1557,GBP MOROGORO,1774,T891 EEU ,40,4280,171200,Commus
1309,29-May,1557,GBP MOROGORO,1795,T860 EKS,40,4280,171200,Commus
1310,29-May,1557,GBP MOROGORO,1797,T680 ENG,40,4280,171200,Commus
1311,29-May,1558,CASH,,T610 EDD,160,4248,679680,
1312,29-May,1559,GBP MOROGORO,1793,T160 EGJ,40,2480,99200,Commus 
1313,29-May,1560,LAKE NDOLA,1610,T644 EAF,35,1.53,53.55,Dar
1314,29-May,1561,INFINITY,1714,T525 EEQ,450,4300,1935000,Kasumbalesa
1315,29-May,1561,INFINITY,1910,T139 EFP,450,4300,1935000,Kolwezi
1316,29-May,1561,INFINITY,1912,T731 EQL,450,4300,1935000,Kolwezi
1317,29-May,1562,LAKE KAPIRI,1714,T525 EEQ,130,1.53,198.9,Kasumbalesa
1318,29-May,1562,LAKE KAPIRI,1910,T139 EFP,560,1.53,856.8,Kolwezi
1319,29-May,1562,LAKE KAPIRI,1912,T731 EQL,560,1.53,856.8,Kolwezi
1320,30-May,1563,INFINITY,1714,T525 EEQ,20,4300,86000,Kasumbalesa
1321,30-May,1564,INFINITY,1802,T760 DNH ,450,4300,1935000,Kolwezi
1322,30-May,1564,INFINITY,1928,T639 EAF,450,4300,1935000,Likasi
1323,30-May,1564,INFINITY,1913,T732 EQL,450,4300,1935000,Kolwezi
1324,30-May,1564,INFINITY,1915,T734 EQL,450,4300,1935000,Kolwezi
1325,30-May,1564,INFINITY,1914,T733 EQL,450,4300,1935000,Kolwezi
1326,30-May,1564,INFINITY,1774,T891 EEU,450,4300,1935000,Commus 
1327,30-May,1564,INFINITY,1933,T614 ENG ,450,4300,1935000,Tfm
1328,30-May,1564,INFINITY,1762,T152 DZY,450,4300,1935000,Kolwezi
1329,30-May,1564,INFINITY,1797,T680 ENG ,450,4300,1935000,Commus 
1330,30-May,1564,INFINITY,1795,T860 EKS,450,4300,1935000,Commus 
1331,30-May,1564,INFINITY,1793,T160 EGJ,450,4300,1935000,Commus 
1332,30-May,1564,INFINITY,1754,T216 ELV,450,4300,1935000,Kolwezi
1333,30-May,1564,INFINITY,1507,T536 DRF ,450,4300,1935000,Kitwe 
1334,30-May,1564,INFINITY,1934,T546 DRF,450,4300,1935000,Tfm
1335,30-May,1564,INFINITY,1752,T663 ECQ,450,4300,1935000,Kolwezi
1336,30-May,1565,LAKE KAPIRI,1802,T760 DNH ,600,1.53,918,Kolwezi
1337,30-May,1565,LAKE KAPIRI,1928,T639 EAF,400,1.53,612,Likasi
1338,30-May,1565,LAKE KAPIRI,1913,T732 EQL,560,1.53,856.8,Kolwezi
1339,30-May,1565,LAKE KAPIRI,1915,T734 EQL,560,1.53,856.8,Kolwezi
1340,30-May,1565,LAKE KAPIRI,1914,T733 EQL,560,1.53,856.8,Kolwezi
1341,30-May,1565,LAKE KAPIRI,1774,T891 EEU,560,1.53,856.8,Commus 
1342,30-May,1565,LAKE KAPIRI,1933,T614 ENG ,460,1.53,703.8,Tfm
1343,30-May,1565,LAKE KAPIRI,1762,T152 DZY,560,1.53,856.8,Kolwezi
1344,30-May,1565,LAKE KAPIRI,1797,T680 ENG ,560,1.53,856.8,Commus 
1345,30-May,1565,LAKE KAPIRI,1795,T860 EKS,560,1.53,856.8,Commus 
1346,30-May,1565,LAKE KAPIRI,1793,T160 EGJ,560,1.53,856.8,Commus 
1347,30-May,1565,LAKE KAPIRI,1754,T216 ELV,560,1.53,856.8,Kolwezi
1348,30-May,1565,LAKE KAPIRI,1507,T536 DRF ,80,1.53,122.4,Kitwe 
1349,30-May,1565,LAKE KAPIRI,1934,T546 DRF,500,1.53,765,Tfm
1350,30-May,1565,LAKE KAPIRI,1752,T663 ECQ,560,1.53,856.8,Kolwezi
1351,30-May,1566,GBP MOROGORO,1792,T554 EKT,40,4280,171200,COMMUS
1352,30-May,1567,GBP MOROGORO,1784,T726 EQL,40,4280,171200,commus
1353,30-May,1567,GBP MOROGORO,1798,T729 EQL,40,4280,171200,commus
1354,30-May,1567,GBP MOROGORO,1780,T166 EGJ,40,4280,171200,commus
1355,30-May,1567,GBP MOROGORO,1785,T405 EAF,40,4280,171200,commus
1356,30-May,1567,GBP MOROGORO,1779,T683 ENG,40,4280,171200,commus
1357,30-May,1568,LAKE CHILILABOMBWE,1623,T219 ELV,40,1.53,61.2,Dar
1358,30-May,1568,LAKE CHILILABOMBWE,1620,T806 EQC,60,1.53,91.8,Dar
1359,30-May,1569,CASH,nil,T592 DRE,100,5047.98,504798,nil
1360,30-May,1569,CASH,nil,T522 DPN,30,5168,155040,nil
1361,30-May,1569,CASH,1605,T586 DRE,50,5100.9,255045,dar
1362,30-May,1569,CASH,nil,T579 DRE,50,5100.9,255045,nil
1363,30-May,1569,CASH,,T580 DPN,40,5126.625,205065,nil
1364,31-May,1570,CASH,nil,T592 DRE,100,5047.98,504798,nil
1365,31-May,1570,CASH,nil,T522 DPN,30,5168,155040,nil
1366,31-May,1570,CASH,1605,T586 DRE,50,5100.9,255045,dar
1367,31-May,1570,CASH,nil,T579 DRE,50,5100.9,255045,nil
1368,31-May,1570,CASH,,T580 DPN,40,5126.625,205065,nil
1369,31-May,1571,LAKE NDOLA,NIL,T165 EGJ,20,1.53,30.6,NIL
1370,31-May,1572,LAKE NDOLA,TBA,T582 DRE,70,1.53,107.1,TBA
1371,31-May,1573,LAKE KAPIRI,TBA,T582 DRE,330,1.53,504.9,TBA
1372,31-May,1574,LAKE NDOLA,1813,T831 DNH,50,1.53,76.5,DAR
1373,31-May,1574,LAKE NDOLA,1602,T839 DNH,50,1.53,76.5,DAR
1374,31-May,1574,LAKE NDOLA,1605,T586 DRE,50,1.53,76.5,dar
1375,31-May,1575,LAKE KAPIRI,1813,T831 DNH,350,1.53,535.5,DAR
1376,31-May,1575,LAKE KAPIRI,1602,T839 DNH,350,1.53,535.5,DAR
1377,31-May,1576,LAKE CHINGOLA,1536,T542 EKT,50,1.53,76.5,DAR
1378,31-May,1577,LAKE NDOLA,TBA,T580 DPN,50,1.53,76.5,TBA
1379,31-May,1578,LAKE KAPIRI,TBA,T580 DPN,350,1.53,535.5,TBA
1380,31-May,1579,GBP MOROGORO,1775,T657 ECQ,40,1.53,61.2,COMMUS
1381,31-May,1580,LAKE MKUSHI,NIL,T597 DTB,50,1.53,76.5,NIL
1382,31-May,1581,GBP MOROGORO,1715,T552 DRE,430,4280,1840400,KASUMBALESA
1383,31-May,1582,INFINITY,1715,T552 DRE,450,4300,1935000,KASUMBALESA
1384,31-May,1583,LAKE KAPIRI,1715,T552 DRE,150,1.53,229.5,KASUMBALESA
1385,31-May,1584,CASH,nil,T839 DNH,20,5145,102900,nil
1386,31-May,1585,GBP MOROGORO,TBA,T102 EFP ,380,4280,1626400,TBA
1387,31-May,1585,GBP MOROGORO,1794,T642 EQC,380,4280,1626400,COMMUS
1388,31-May,1585,GBP MOROGORO,1783,T511 EGD ,380,4280,1626400,COMMUS
1389,31-May,1585,GBP MOROGORO,1924,T572 EQF,380,4280,1626400,KOLWEZI
1390,31-May,1585,GBP MOROGORO,1938,T591 DRE,380,4280,1626400,KCC
1391,31-May,1585,GBP MOROGORO,1950,T356 EQF,380,4280,1626400,KINGA KIK
1392,31-May,1585,GBP MOROGORO,TBA,T715 EQD,380,4280,1626400,TBA
1393,31-May,1585,GBP MOROGORO,TBA,T716 EQD,380,4280,1626400,TBA
1394,31-May,1585,GBP MOROGORO,1769,T365 EQF,380,4280,1626400,KOLWEZI
1395,31-May,1585,GBP MOROGORO,1786,T159 EGJ,40,4280,171200,COMMUS
1396,31-May,1585,GBP MOROGORO,1766,T613 EDD,380,4280,1626400,KOLWEZI
1397,31-May,1586,LAKE KAPIRI,1478,T150 DZY,560,1.53,856.8,KOLWEZI
1398,31-May,1587,GBP MOROGORO,1770,T595 DTB,380,4280,1626400,KOLWEZI
1399,31-May,1587,GBP MOROGORO,1931,T517 EEQ,380,4280,1626400,LIKASI
1400,31-May,1587,GBP MOROGORO,1782,T606 EDD,380,4280,1626400,COMMUS
1401,31-May,1587,GBP MOROGORO,1777,T635 EAF,430,4280,1840400,COMMUS
1402,31-May,1587,GBP MOROGORO,TBA,T358 EQF,380,4280,1626400,TBA
1403,31-May,1587,GBP MOROGORO,TBA,T685 ENG,380,4280,1626400,TBA
1404,31-May,1587,GBP MOROGORO,1925,T498 EQG,380,4280,1626400,KOLWEZI
1405,31-May,1587,GBP MOROGORO,1926,T597 EDD,380,4280,1626400,KOLWEZI
1406,31-May,1587,GBP MOROGORO,1920,T807 EEU,380,4280,1626400,TFM
1407,31-May,1587,GBP MOROGORO,1919,T750 ELY,380,4280,1626400,TFM
1408,31-May,1588,INFINITY,1907,T139 DZY,450,4300,1935000,KOLWEZI
1409,31-May,1588,INFINITY,TBA,T715 EQD,500,4300,2150000,TBA
1410,31-May,1588,INFINITY,1786,T159 EGJ,450,4300,1935000,COMMUS
1411,31-May,1588,INFINITY,1775,T657 ECQ,450,4300,1935000,COMMUS
1412,31-May,1588,INFINITY,1755,T699 EHJ,450,4300,1935000,LIKASI
1413,31-May,1588,INFINITY,1785,T405 EAF,450,4300,1935000,COMMUS
1414,31-May,1588,INFINITY,1779,T683 ENG,450,4300,1935000,COMMUS
1415,31-May,1588,INFINITY,1930,T366 EQF,450,4300,1935000,LIKASI
1416,31-May,1588,INFINITY,1787,T730 EET,450,4300,1935000,COMMUS
1417,31-May,1588,INFINITY,1929,T708 DXY,450,4300,1935000,LIKASI
1418,31-May,1588,INFINITY,1798,T729 EQL,450,4300,1935000,COMUS
1419,31-May,1588,INFINITY,1784,T726 EQL,450,4300,1935000,COMMUS
1420,31-May,1588,INFINITY,1780,T166 EGJ,450,4300,1935000,COMMUS
1421,31-May,1588,INFINITY,1746,T592 EDD,450,4300,1935000,KOLWEZI
1422,31-May,1588,INFINITY,1916,T735 EQL,450,4300,1935000,KOLWEZI
1423,31-May,1588,INFINITY,1750,T791 EEU,450,4300,1935000,KOLWEZI
1424,31-May,1588,INFINITY,1944,T204 EHE,450,4300,1935000,KING KK
1425,31-May,1588,INFINITY,1724,T636 EAF,450,4300,1935000,KOLWEZI
1426,31-May,1588,INFINITY,1949,T357 EQF,450,4300,1935000,KING KK
1427,31-May,1588,INFINITY,1801,T540 DRF,450,4300,1935000,KOLWEZI
1428,31-May,1588,INFINITY,1792,T554 EKT,450,4300,1935000,COMMUS
1429,31-May,1589,GBP MOROGORO,,T577 EAF,200,4280,856000,
