SN,DATE ,IMPORT OR EXPORT,D.O No.,Invoice Nos,CLIENT NAME ,TRUCK No.,TRAILER No.,CONTAINER No.,BORDER ENTRY DRC,LOADING POINT,DESTINATION,HAULIER,TONNAGES ,RATE PER TON,RATE,
6639,30-Oct,EXPORT,6639,,BRIDGESHIPPING,T528 EEQ,T668 EEM,LOOSE CARGO,,MJM LIKASI,DAR,TAHMEED,32,$162/MT,,
6640,30-Oct,EXPORT,6640,,BRIDGESHIPPING,T968 DVK,T345 DVT,LOOSE CARGO,,MJM LIKASI,DAR,TAHMEED,32,$162/MT,,
6641,30-Oct,EXPORT,6641,,POSEIDON,T863 EKS,T922 EKY,LOOSE CARGO,,BMS,DAR,TAHMEED,32,$180/MT,,
6642,30-Oct,EXPORT,6642,,POSEIDON,T764 DNH,T465 DNH,LOOSE CARGO,,BMS,DAR,TAHMEED,31,$180/MT,,
6643,30-Oct,EXPORT,6643,,POSEIDON,T770 DWK,T295 DWL,LOOSE CARGO,,BMS,DAR,TAHMEED,31,$180/MT,,
6644,30-Oct,EXPORT,6644,,POSEIDON,T772 DWK,T300 DWL,LOOSE CARGO,,BMS ,DAR,TAHMEED,31,$205/MT,,
6645,30-Oct,EXPORT,6645,,POSEIDON,T166 DZY,T879 DZC,LOOSE CARGO,,BMS ,DAR,TAHMEED,31,$205/MT,,
6646,30-Oct,EXPORT,6646,,POSEIDON,T656 ECQ,T566ECC,LOOSE CARGO,,BMS ,DAR,TAHMEED,32,$205/MT,,
6647,30-Oct,EXPORT,6647,,POSEIDON,T663 EAQ,T898 EAK,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,32,$205/MT,,
6648,30-Oct,EXPORT,6648,,POSEIDON,T703 DXY,T635 DWL,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,31,$205/MT,,
6649,30-Oct,EXPORT,6649,,POSEIDON,T976 DVK,T426 DVT,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,31,$205/MT,,
6650,30-Oct,EXPORT,6650,,POSEIDON,T837 EKS,T886 EKY,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,32,$205/MT,,
6651,30-Oct,EXPORT,6651,,POSEIDON,T607 EDD ,T270 EDL,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,32,$205/MT,,
6652,30-Oct,EXPORT,6652,,POSEIDON,T696 DXY,T400 DYC,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,31,$205/MT,,
6653,30-Oct,EXPORT,6653,,POSEIDON,T831 DNH,T355 DNP,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,31,$205/MT,,
6654,30-Oct,EXPORT,6654,,POSEIDON,T524 DPN,T125 DNX,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,32,$205/MT,,
6655,30-Oct,EXPORT,6655,,POSEIDON,T592 EDD,T962 EDK,LOOSE CARGO,,COMMUS ,DAR,TAHMEED,32,$205/MT,,
6656,30-Oct,EXPORT,6656,,POSEIDON,T532 EGD,T102 EFU,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6657,30-Oct,EXPORT,6657,,POSEIDON,T432 EAF,T955 DZC,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,31,$205/MT,,
6658,30-Oct,EXPORT,6658,,POSEIDON,T811 EEU,T581 EEN,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6659,30-Oct,EXPORT,6659,,POSEIDON,T487 EEQ,T697 EEM,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6660,30-Oct,EXPORT,6660,,POSEIDON,T844 EKS,T629 ELE,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6661,30-Oct,EXPORT,6661,,POSEIDON,T141 EFP,T621 EGS,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6662,30-Oct,EXPORT,6662,,POSEIDON,T207 EHE,T467 EGT,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6663,30-Oct,EXPORT,6663,,POSEIDON,T860 EKS,T915 EKY,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6664,30-Oct,EXPORT,6664,,POSEIDON,T168 EGJ,T194 EFU,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6665,30-Oct,EXPORT,6665,,POSEIDON,T589 DRE,T338 DRP,LOOSE CARGO,,KALONGWE ,DAR,TAHMEED,32,$205/MT,,
6666,30-Oct,EXPORT,6666,,POLYTRA,T610 EDD,T210 EDL,LOOSE CARGO,,MMT ,DAR,TAHMEED,32,$170/MT,,
6667,30-Oct,EXPORT,6667,,POLYTRA,T492 EEQ,T662 EEM,LOOSE CARGO,,MMT ,DAR,TAHMEED,32,$170/MT,,
6668,30-Oct,EXPORT,6668,,POLYTRA,T599 EDD,T275 EDL,LOOSE CARGO,,MMT ,DAR,TAHMEED,32,$170/MT,,
6669,30-Oct,EXPORT,6669,,POLYTRA,T894 EEU,T591 EEN,LOOSE CARGO,,TCC ,DAR,TAHMEED,32,$170/MT,,
6670,30-Oct,EXPORT,6670,,POLYTRA,T660 EAQ,T897 EAK,LOOSE CARGO,,TCC ,DAR,TAHMEED,32,$170/MT,,
6671,30-Oct,EXPORT,6671,,POLYTRA,T456 EAG,T951 DZS,LOOSE CARGO,,TCC ,DAR,TAHMEED,32,$170/MT,,
6672,30-Oct,EXPORT,6672,,POLYTRA,T652 ECQ,T562ECC,LOOSE CARGO,,TCC ,DAR,TAHMEED,32,$170/MT,,
6673,30-Oct,EXPORT,6673,,POLYTRA,T132 DZY,T885 DZC,LOOSE CARGO,,TCC ,DAR,TAHMEED,32,$170/MT,,
6674,30-Oct,EXPORT,6674,,POLYTRA,T713 DXY,T356 DYC,LOOSE CARGO,,TCC ,DAR,TAHMEED,31,$170/MT,,
6675,30-Oct,EXPORT,6675,,POLYTRA,T459 EAG,T893 EAK,LOOSE CARGO,,TCC ,DAR,TAHMEED,32,$170/MT,,
6676,30-Oct,EXPORT,6676,,POLYTRA,T595 DTB,T665 DTH,LOOSE CARGO,,TCC ,DAR,TAHMEED,31,$170/MT,,
6677,30-Oct,EXPORT,6677,,POLYTRA,T840 DNH,T358 DNP,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,31,$170/MT,,
6678,30-Oct,EXPORT,6678,,POLYTRA,T554 DPN,T346 DRP,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,32,$170/MT,,
6679,30-Oct,EXPORT,6679,,POLYTRA,T698 DXY,T636 DWL,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,31,$170/MT,,
6680,30-Oct,EXPORT,6680,,POLYTRA,T575 EAF,T941 DZS,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,31,$170/MT,,
6681,30-Oct,EXPORT,6681,,POLYTRA,T137 DZY,T951 DZC,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,32,$170/MT,,
6682,30-Oct,EXPORT,6682,,POLYTRA,T793 DNH,T192CHM,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,31,$170/MT,,
6683,30-Oct,EXPORT,6683,,POLYTRA,T462 EAG,T887 EAK,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,32,$170/MT,,
6684,30-Oct,EXPORT,6684,,POLYTRA,T551 DPN,T551 DPB,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,32,$170/MT,,
6685,30-Oct,EXPORT,6685,,POLYTRA,T588 DRE,T740 DRD,LOOSE CARGO,,KAMOA ,DAR,TAHMEED,31,$170/MT,,
6686,27-Oct,IMPORT,6686,,RELOAD,T836 EKS,T884 EKY,LOOSE CARGO,,DSM,TFM,,32,225,,
6687,27-Oct,IMPORT,6687,,RELOAD,T751 ELY,T628 EMF,LOOSE CARGO,,DSM,TFM,,32,225,,
6688,27-Oct,IMPORT,6688,,RELOAD,T633 EAF,T898 DZS,LOOSE CARGO,,DSM,TFM,,31,225,,
6689,27-Oct,IMPORT,6689,,RELOAD,T839 DNH,T547 DPB,LOOSE CARGO,,DSM,TFM,,31,225,,
6690,27-Oct,IMPORT,6690,,RELOAD,T159 EGJ,T182 EFU,LOOSE CARGO,,DSM,TFM,,32,225,,
6691,27-Oct,IMPORT,6691,,RELOAD,T147 DZY,T563 DZE,LOOSE CARGO,,DSM,TFM,,32,225,,
6692,27-Oct,IMPORT,6692,,RELOAD,T605 EDD,T215 EDL,LOOSE CARGO,,DSM,TFM,,32,225,,
6693,27-Oct,IMPORT,6693,,RELOAD,T854 EKS,T905 EKY,LOOSE CARGO,,DSM,TFM,,32,225,,
6694,27-Oct,IMPORT,6694,,RELOAD,T458 EAG,T895 DZS,LOOSE CARGO,,DSM,TFM,,32,225,,
6695,27-Oct,IMPORT,6695,,POLYTRA,T125 DYY,T979DYY,LOOSE CARGO,,DSM,COMMUS,,32,230,,
6696,27-Oct,IMPORT,6696,,POLYTRA,T700 DXY,T578 ECC,LOOSE CARGO,,DSM,TCC,,31,230,,
6697,27-Oct,IMPORT,6697,,POLYTRA,T242 ELV,T624 EMF,LOOSE CARGO,,DSM,TCC,,32,230,,
6698,27-Oct,IMPORT,6698,,POLYTRA,T702 DXY,T345 DYC,LOOSE CARGO,,DSM,TCC,,32,230,,
6699,27-Oct,IMPORT,6699,,POLYTRA,T240 ELV,T622 EMF,LOOSE CARGO,,DSM,TCC,,31,230,,
6700,27-Oct,IMPORT,6700,,POLYTRA,T243 ELV,T607 EMF,LOOSE CARGO,,DSM,TCC,,32,230,,
6701,27-Oct,IMPORT,6701,,POLYTRA,T236 ELV,T618 EMF,LOOSE CARGO,,DSM,TCC,,32,230,,
6702,27-Oct,IMPORT,6702,,POLYTRA,T663 ECQ,T579 ECC,LOOSE CARGO,,DSM,TCC,,32,230,,
6703,27-Oct,IMPORT,6703,,POLYTRA,T565 EAF,T945 DZS,LOOSE CARGO,,DSM,COMMUS,,31,230,,
6704,27-Oct,IMPORT,6704,,POLYTRA,T595 DRE,T187 CHM,LOOSE CARGO,,DSM,COMMUS,,31,230,,
6705,27-Oct,IMPORT,6705,,POLYTRA,T162 DZY,T532 DZE,LOOSE CARGO,,DSM,COMMUS,,32,230,,
6706,27-Oct,IMPORT,6706,,POLYTRA,T697 DXY,T361 DYC,LOOSE CARGO,,DSM,COMMUS,,31,230,,
6707,27-Oct,IMPORT,6707,,POLYTRA,T594 EDD,T964 EDK,LOOSE CARGO,,DSM,COMMUS,,32,230,,
6708,27-Oct,IMPORT,6708,,POLYTRA,T598 DTB,T661DTH,LOOSE CARGO,,DSM,COMMUS,,31,230,,
6709,27-Oct,IMPORT,6709,,POLYTRA,T791 EEU,T594 EEN,LOOSE CARGO,,DSM,COMMUS,,32,230,,
6710,27-Oct,IMPORT,6710,,POLYTRA,T681 EAQ,T478 EGT,LOOSE CARGO,,DSM,COMMUS,,32,230,,
6711,29-Oct,IMPORT,6711,,CEVA,T720 EET,T602 EEN,CONTAINERISED,,MBSA,LUBUMBASHI,,13,,10500,
6712,29-Oct,IMPORT,6712,,CEVA,T712 DXY,T347 DYC,CONTAINERISED,,MBSA,LUBUMBASHI,,10,,10500,
6713,29-Oct,IMPORT,6713,,RELOAD,T215 ELV,T611 EMF,LOOSE CARGO,,DSM,TFM,,32,235,,
6714,29-Oct,IMPORT,6714,,RELOAD,T238 ELV,T620 EMF,LOOSE CARGO,,DSM,TFM,,32,235,,
6715,29-Oct,IMPORT,6715,,RELOAD,T541 EKT,T688 ELK,LOOSE CARGO,,DSM,TFM,,32,235,,
6716,29-Oct,IMPORT,6716,,RELOAD,T603 EDD,T963 EDK,LOOSE CARGO,,DSM,TFM,,32,235,,
6717,29-Oct,IMPORT,6717,,RELOAD,T123 DZY,T887 DZC,LOOSE CARGO,,DSM,TFM,,32,235,,
6718,29-Oct,IMPORT,6718,,RELOAD,T634 EAF,T904 DZS,LOOSE CARGO,,DSM,TFM,,31,235,,
6719,29-Oct,IMPORT,6719,,RELOAD,T684 ENG,T384 EMZ,LOOSE CARGO,,DSM,TFM,,33,235,,
6720,29-Oct,IMPORT,6720,,RELOAD,T581 DRE,T335 DRP,LOOSE CARGO,,DSM,TFM,,31,235,,
6721,29-Oct,IMPORT,6721,,RELOAD,T613 ENG,T863 EMY,LOOSE CARGO,,DSM,TFM,,33,235,,
6722,29-Oct,IMPORT,6722,,RELOAD,T492 EEQ,T662 EEM,LOOSE CARGO,,DSM,TFM,,32,235,,
6723,29-Oct,IMPORT,6723,,RELOAD,T604 EDD,T306 DWL,LOOSE CARGO,,DSM,TFM,,32,235,,
6724,29-Oct,IMPORT,6724,,RELOAD,T859 EKS,T911 EKY,LOOSE CARGO,,DSM,TFM,,32,235,,
6725,29-Oct,IMPORT,6725,,RELOAD,T585 DRE,T400 DQW,LOOSE CARGO,,DSM,TFM,,32,235,,
6726,29-Oct,IMPORT,6726,,RELOAD,T473 EKZ,T701 ELK,LOOSE CARGO,,DSM,TFM,,32,235,,
6727,29-Oct,IMPORT,6727,,RELOAD,T687 ENG,T382 EMZ,LOOSE CARGO,,DSM,TFM,,33,235,,
6728,29-Oct,IMPORT,6728,,RELOAD,T776 DWK,T328 DWL,LOOSE CARGO,,DSM,TFM,,31,235,,
6729,30-Oct,EXPORT,6729,,RELOAD,T601 EDD,T283 EDL,CONTAINERISED,,GAR LUBUMBASHI,DAR,TAHMEED,28,$145 ,,
6730,30-Oct,EXPORT,6730,,RELOAD,T797 EEU,T596 EEN,CONTAINERISED,,GAR LUBUMBASHI,DAR,TAHMEED,28,$145 ,,
6731,30-Oct,EXPORT,6731,,RELOAD,T686 EAQ,T204 EDL,LOOSE CARGO,,MKM ,DAR,TAHMEED,32,$190 ,,
6732,30-Oct,EXPORT,6732,,RELOAD,T790 EEU,T592 EEN,LOOSE CARGO,,MKM ,DAR,TAHMEED,32,$190 ,,
6733,30-Oct,EXPORT,6733,,RELOAD,T788 DWK,T333 DWL,LOOSE CARGO,,MKM ,DAR,TAHMEED,31,$190 ,,
6734,30-Oct,EXPORT,6734,,RELOAD,T475 EKZ,T703 ELK,LOOSE CARGO,,MKM ,DAR,TAHMEED,32,$190 ,,
6735,30-Oct,EXPORT,6735,,RELOAD,T762 DWK,T343 DWL,LOOSE CARGO,,MKM ,DAR,TAHMEED,31,$190 ,,
6736,30-Oct,EXPORT,6736,,RELOAD,T211 ELV,T621 EMF,LOOSE CARGO,,MKM ,DAR,TAHMEED,32,$190 ,,
6737,30-Oct,EXPORT,6737,,RELOAD,T595 EDD,T965 EDK,LOOSE CARGO,,ZHANFEI ,DAR,TAHMEED,32,$190 ,,
6738,30-Oct,EXPORT,6738,,RELOAD,T512 EGD,T446 DZE,LOOSE CARGO,,ZHANFEI ,DAR,TAHMEED,32,$190 ,,
6739,30-Oct,EXPORT,6739,,RELOAD,T667 EAQ,T892 EAK,LOOSE CARGO,,ZHANFEI ,DAR,TAHMEED,32,$190 ,,
6740,30-Oct,EXPORT,6740,,BRIDGESHIPPING,T543 EKT,T690 ELK,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6741,30-Oct,EXPORT,6741,,BRIDGESHIPPING,T201 EHE,T950 DQQ,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6742,30-Oct,EXPORT,6742,,BRIDGESHIPPING,T213 EHE,T466 EGT,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6743,30-Oct,EXPORT,6743,,BRIDGESHIPPING,T217 EHE,T470 EGT,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6744,30-Oct,EXPORT,6744,,BRIDGESHIPPING,T841 EKS,T627 ELE,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6745,30-Oct,EXPORT,6745,,BRIDGESHIPPING,T241 ELV,T623 EMF,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6746,30-Oct,EXPORT,6746,,BRIDGESHIPPING,T577 EAF,T889 DZS,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6747,30-Oct,EXPORT,6747,,BRIDGESHIPPING,T468 EKZ,T697 ELK,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6748,30-Oct,EXPORT,6748,,BRIDGESHIPPING,T986 EFN,T598 EGS,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6749,30-Oct,EXPORT,6749,,BRIDGESHIPPING,T477 EKZ,T704 ELK,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,2,$272.5/MT,,
6750,30-Oct,EXPORT,6750,,BRIDGESHIPPING,T513 EEF,T571 ECT,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6751,30-Oct,EXPORT,6751,,BRIDGESHIPPING,T460 EAG,T894 EAK,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6752,30-Oct,EXPORT,6752,,BRIDGESHIPPING,T708 DXY,T393 DYC,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6753,30-Oct,EXPORT,6753,,BRIDGESHIPPING,T991 EFN,T597 EGS,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6754,30-Oct,EXPORT,6754,,BRIDGESHIPPING,T970 DVK,T347DVT,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6755,30-Oct,EXPORT,6755,,BRIDGESHIPPING,T152 DZY,T552 DZE,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6756,30-Oct,EXPORT,6756,,BRIDGESHIPPING,T521 EEQ,T691 EEM,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6757,30-Oct,EXPORT,6757,,BRIDGESHIPPING,T779 DWK,T303 DWL,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6758,30-Oct,EXPORT,6758,,BRIDGESHIPPING,T135 EFP,T604 EGS,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6759,30-Oct,EXPORT,6759,,BRIDGESHIPPING,T978 DVK,T343 DVT,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6760,30-Oct,EXPORT,6760,,BRIDGESHIPPING,T715 EET,T585 EEN,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6761,30-Oct,EXPORT,6761,,BRIDGESHIPPING,T638 EAF,T871 DZS,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6762,30-Oct,EXPORT,6762,,BRIDGESHIPPING,T474 EKZ,T702 ELK,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6763,30-Oct,EXPORT,6763,,BRIDGESHIPPING,T523 EEQ,T712 EEM,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6764,30-Oct,EXPORT,6764,,BRIDGESHIPPING,T542 DRF,T330 DRP,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6765,30-Oct,EXPORT,6765,,BRIDGESHIPPING,T502 EEQ,T499 DQF,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6766,30-Oct,EXPORT,6766,,BRIDGESHIPPING,T203 EHE,T985 BPW,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,32,$272.5/MT,,
6767,30-Oct,EXPORT,6767,,BRIDGESHIPPING,T150 DZY,T561 DZE,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6768,30-Oct,EXPORT,6768,,BRIDGESHIPPING,T153 DZY,T545 DZE,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6769,30-Oct,EXPORT,6769,,BRIDGESHIPPING,T587 DTB,T670 DTH,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6770,30-Oct,EXPORT,6770,,BRIDGESHIPPING,T521 DRF,T336 DRP,LOOSE CARGO,,COMMUS ,MOMBASA,TAHMEED,31,$272.5/MT,,
6771,30-Oct,EXPORT,6771,,BRIDGESHIPPING,T831 EKS,T880 EKY,LOOSE CARGO,,ZHANFEI ,DAR,TAHMEED,32,$200/MT,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
